Material composition,O p-band center (eV),Predicted Log k* (cm/s),Bandgap (eV),Charge transfer gap (eV),Energy above convex hull (meV/atom),Formation energy (eV/atom)
Pr6Hf2Zn2Co6O24,-2.029,-5.0343,0.33,0.353,113.2709417,-1.828794537
Pr6Nb2Zn2Co6O24,-2.717,-7.3362,0,0,149.5897113,-1.733974423
Pr6Ta2Zn2Co6O24,-1.923,-4.6797,0,0.119,121.012896,-1.82255077
Pr6Ti2Zn2Co6O24,-2.12,-5.3388,0.179,0.179,102.6652079,-1.791345342
Pr6Zr2Zn2Co6O24,-1.986,-4.8905,0.124,0.155,123.8263429,-1.801958035
Pr6Zn2Fe8O24,-1.69,-3.9001,0,0.837,117.5570116,-1.704450022
Pr6Hf2Zn2Fe6O24,-1.788,-4.228,1.66,1.696,127.3067106,-2.026544749
Pr6Nb2Zn2Fe6O24,-2.612,-6.9849,0.831,0.903,147.4918845,-1.905560636
Pr6Ta2Zn2Fe6O24,-2.178,-5.5329,1.413,1.485,177.3463264,-1.919862232
Pr6Ti2Zn2Fe6O24,-2.152,-5.4459,1.19,1.262,85.32116056,-2.012416304
Pr6Zr2Zn2Fe6O24,-1.948,-4.7633,1.449,1.486,130.7107956,-1.998800498
Pr6Mn8Zn2O24,-2.307,-5.9645,0,0,99.38751557,-1.817690322
Pr6Hf2Mn6Zn2O24,-2.279,-5.8708,0.414,0.446,97.75371527,-2.1221966
Pr6Mn6Nb2Zn2O24,-2.551,-6.7808,0,0.126,101.6792434,-2.028600986
Pr6Ta2Mn6Zn2O24,-2.566,-6.831,0,0.127,88.06968527,-2.086366582
Pr6Ti2Mn6Zn2O24,-2.36,-6.1418,0,0,89.11498671,-2.068465654
Pr6Zr2Mn6Zn2O24,-2.304,-5.9544,0.414,0.445,89.46412177,-2.099890348
Pr6Zn2Ni8O24,-0.982,-1.5313,0,0.546,233.371776,-1.104295864
Pr6Hf2Zn2Ni6O24,-1.305,-2.612,0,0,181.7559218,-1.602796693
Pr6Nb2Zn2Ni6O24,-1.185,-2.2105,0,1.224,170.1125259,-1.56328633
Pr6Ta2Zn2Ni6O24,-1.205,-2.2774,0,0,171.8099606,-1.621588426
Pr6Ti2Zn2Ni6O24,-1.256,-2.448,0,0,181.776188,-1.554721498
Pr6Zr2Zn2Ni6O24,-1.317,-2.6521,0,0.816,188.725323,-1.579546192
La1Pr4Zn3Co8O24,-2.016,-4.9908,0,0,172.4202031,-1.25701959
La1Pr4Zn3Fe8O24,-1.799,-4.2648,0,0.901,171.6797176,-1.526367873
La1Pr4Mn8Zn3O24,-2.317,-5.9979,0,0,144.7467208,-1.651424923
La1Pr4Zn3Ni8O24,-1.909,-4.6328,0,1.315,0,-1.621819465
Sr7Zn1Co8O24,-1.511,-3.3012,0,0,144.3677029,-1.11364278
Sr7Zn1Fe8O24,-1.401,-2.9332,0,0,146.0598287,-1.373479313
Sr7Mn8Zn1O24,-1.335,-2.7123,0,0,122.4870163,-1.516019113
Sr7Zn1Ni8O24,-1.095,-1.9094,0,0,321.7950028,-0.700042905
Sr6Zn2Co8O24,-1.392,-2.9031,0,0,191.5116151,-0.998775261
Sr6Hf2Zn2Co6O24,-1.601,-3.6023,0,0,190.0020715,-1.42981531
Sr6Nb2Zn2Co6O24,-1.577,-3.522,0,0,166.6993889,-1.386161446
Sr6Ta2Zn2Co6O24,-1.657,-3.7897,0,0,170.8283544,-1.434391792
Sr6Ti2Zn2Co6O24,-1.471,-3.1674,0,0,195.1598397,-1.362429364
Sr6Zr2Zn2Co6O24,-1.387,-2.8863,0,0,190.4608894,-1.391467308
Sr6Zn2Fe8O24,-1.235,-2.3778,0,0,200.5045382,-1.248851294
Sr6Hf2Zn2Fe6O24,-1.28,-2.5283,0,0.59,196.0958763,-1.616899022
Sr6Nb2Zn2Fe6O24,-1.317,-2.6521,0,0.624,158.791749,-1.583172408
Sr6Ta2Zn2Fe6O24,-1.336,-2.7157,0,0,178.6698856,-1.640976755
Sr6Ti2Zn2Fe6O24,-1.281,-2.5317,0,0.441,187.7099145,-1.560494327
Sr6Zr2Zn2Fe6O24,-1.296,-2.5819,0,0.625,179.9954442,-1.59511027
Sr6Mn8Zn2O24,-1.25,-2.428,0,0,153.8992765,-1.406443844
Sr6Hf2Mn6Zn2O24,-1.279,-2.525,0,0,142.4833928,-1.749762122
Sr6Mn6Nb2Zn2O24,-1.981,-4.8737,0,0,125.0812349,-1.688405758
Sr6Ta2Mn6Zn2O24,-2.032,-5.0444,0,0,125.7761021,-1.744167605
Sr6Ti2Mn6Zn2O24,-1.326,-2.6822,0,0,137.3164097,-1.689462677
Sr6Zr2Mn6Zn2O24,-1.277,-2.5183,0,0,125.7729607,-1.72858337
Sr6Zn2Ni8O24,-0.986,-1.5447,0,0,369.7801342,-0.587359136
Sr6Hf2Zn2Ni6O24,-1.039,-1.722,0,0.165,350.0195967,-1.096555216
Sr6Nb2Zn2Ni6O24,-1.135,-2.0432,0,0,306.6668971,-1.079633102
Sr6Ta2Zn2Ni6O24,-1.145,-2.0766,0,0.822,302.9858626,-1.135673449
Sr6Ti2Zn2Ni6O24,-1.119,-1.9897,0,0,335.5518793,-1.055263271
Sr6Zr2Zn2Ni6O24,-1.107,-1.9495,0,0.575,319.7061646,-1.088979464
Sr4La1Zn3Co8O24,-1.692,-3.9068,0,0,229.7224521,-0.961832605
Sr4La1Zn3Fe8O24,-1.503,-3.2744,0,0.367,227.9140687,-1.221699388
Sr4La1Mn8Zn3O24,-1.773,-4.1778,0,0,172.0405389,-1.380868688
Sr4La1Zn3Ni8O24,-1.179,-2.1904,0,0,381.1078068,-0.58366548
Y7Zn1Co8O24,-2.063,-5.1481,0,0,84.41249622,-1.687596086
Y7Zn1Fe8O24,-1.826,-4.3551,0,1.411,54.94979021,-1.959777369
Y7Mn8Zn1O24,-2.483,-6.5533,0,0,59.67920269,-2.060609419
Y7Zn1Ni8O24,-1.307,-2.6187,0,0,185.7288263,-1.382319211
Y6Zn2Co8O24,-1.99,-4.9038,0,0,119.2983735,-1.513599774
Y6Hf2Zn2Co6O24,-2.161,-5.476,0.161,0.188,124.0229465,-1.905572322
Y6Nb2Zn2Co6O24,-2.165,-5.4894,0,0,119.6575878,-1.835597208
Y6Ta2Zn2Co6O24,-2.246,-5.7604,0,0,114.3679263,-1.895334305
Y6Ti2Zn2Co6O24,-1.953,-4.78,0,0,103.9649939,-1.873527377
Y6Zr2Zn2Co6O24,-2.118,-5.3321,0.124,0.155,116.8908945,-1.88815832
Y6Zn2Fe8O24,-1.71,-3.967,0,1.202,93.38585243,-1.782985057
Y6Hf2Zn2Fe6O24,-2.145,-5.4224,0.506,0.506,137.4886591,-2.075221034
Y6Nb2Zn2Fe6O24,-2.536,-6.7306,1.12,1.156,209.8826285,-1.898742421
Y6Ta2Zn2Fe6O24,-2.771,-7.5169,0.945,1.018,127.740217,-2.035332267
Y6Ti2Zn2Fe6O24,-2.183,-5.5496,1.302,1.374,70.6664565,-2.089940339
Y6Zr2Zn2Fe6O24,-2.021,-5.0076,1.56,1.632,72.36735708,-2.115796283
Y6Mn8Zn2O24,-2.543,-6.7541,0,0,77.04502053,-1.900454357
Y6Hf2Mn6Zn2O24,-2.438,-6.4028,0.448,0.48,91.15693652,-2.195059885
Y6Mn6Nb2Zn2O24,-2.671,-7.1823,0.127,0.19,88.46084748,-2.099334521
Y6Ta2Mn6Zn2O24,-2.687,-7.2359,0.159,0.223,80.94033473,-2.157577367
Y6Ti2Mn6Zn2O24,-2.537,-6.734,0.143,0.178,74.58551681,-2.145074439
Y6Zr2Mn6Zn2O24,-2.415,-6.3258,0.511,0.543,83.80925664,-2.171431383
Y6Zn2Ni8O24,-1.102,-1.9328,0,0.588,228.9145309,-1.196282899
Y6Hf2Zn2Ni6O24,-1.417,-2.9867,0,0.493,187.4276767,-1.684654728
Y6Nb2Zn2Ni6O24,-1.312,-2.6354,0,1.351,165.7936524,-1.639295865
Y6Ta2Zn2Ni6O24,-1.332,-2.7023,0,1.515,156.9412409,-1.702595711
Y6Ti2Zn2Ni6O24,-1.396,-2.9164,0,0.573,174.631224,-1.645348283
Y6Zr2Zn2Ni6O24,-1.444,-3.077,0,0.408,187.5196246,-1.660016727
La1Y4Zn3Co8O24,-2.039,-5.0678,0,0,168.4649563,-1.31932803
La1Y4Zn3Fe8O24,-1.823,-4.3451,0,1.085,158.3674095,-1.579668063
La1Y4Mn8Zn3O24,-2.388,-6.2355,0,0,121.2044382,-1.712258863
La1Y4Zn3Ni8O24,-1.31,-2.6287,0,0,291.955558,-0.984678655
Ba8Hf4Co4O24,-1.378,-2.8562,0,0,131.3501524,-2.02449967
Ba8Hf6Co2O24,-1.268,-2.4882,0,0.608,70.2166732,-2.515339968
Ba8Hf7Co1O24,-1.556,-3.4518,0,0.101,45.7531836,-2.754656867
Ba8Nb4Co4O24,-1.703,-3.9436,0.45,0.514,37.9332462,-1.976335692
Ba8Nb7Co1O24,-4.221,-12.3683,0,0,45.07319863,-2.334486594
Ba8Ta4Co4O24,-1.729,-4.0306,0.302,0.348,21.6105345,-2.081274885
Ba8Ta6Co2O24,-4.632,-13.7434,0,0,58.99391702,-2.405697416
Ba8Ta7Co1O24,-4.888,-14.6,0,0.113,109.4739007,-2.432905557
Ba8Zr4Co4O24,-1.4,-2.9298,0,0,92.44931641,-1.989268666
Ba8Zr6Co2O24,-1.542,-3.4049,0.121,0.151,28.9476692,-2.445411213
Ba8Zr7Co1O24,-1.51,-3.2979,0,0.121,0,-2.679306486
Ba8Hf4Fe4O24,-1.172,-2.167,0,1.982,63.04573585,-2.195912061
Ba8Hf6Fe2O24,-1.205,-2.2774,0,2.039,38.74908992,-2.598361539
Ba8Hf7Fe1O24,-1.266,-2.4815,0,2.205,23.50114196,-2.802685903
Ba8Nb4Fe4O24,-1.553,-3.4417,1.545,1.617,24.184234,-2.144112084
Ba8Nb6Fe2O24,-4.061,-11.833,0,0,24.89260867,-2.308538198
Ba8Nb7Fe1O24,-4.351,-12.8033,0,0,25.66391325,-2.35389588
Ba8Ta4Fe4O24,-1.632,-3.706,1.663,1.736,0,-2.255396027
Ba8Ta6Fe2O24,-4.784,-14.252,0,0,121.5710071,-2.359370237
Ba8Ta7Fe1O24,-5.061,-15.1788,0,0,76.60506372,-2.463315342
Ca8Fe8O24,-1.908,-4.6295,0,0,183.3506875,-1.454260164
Ba7Ca1Fe8O24,-1.247,-2.4179,0,0,97.86627057,-1.4233278
Ba6Ca2Fe8O24,-1.352,-2.7692,0,0,118.3037635,-1.421432245
Ba4Ca4Fe8O24,-1.543,-3.4083,0,0,163.1857492,-1.413634135
Ba2Ca6Fe8O24,-1.757,-4.1243,0,0,171.6080933,-1.435607274
Ba7Ce1Fe8O24,-1.412,-2.97,0,0,87.31329665,-1.537711989
Ba6Ce2Fe8O24,-1.883,-4.5458,0,0,120.2148156,-1.627183623
Dy8Fe8O24,-3.498,-9.9493,0.486,0.59,390.4260105,-1.78929855
Ba7Dy1Fe8O24,-1.264,-2.4748,0,0,95.14422461,-1.495320786
Ba6Dy2Fe8O24,-1.427,-3.0202,0,0.221,121.3684215,-1.556909467
Ba4Dy4Fe8O24,-1.955,-4.7867,0,0.109,236.1773154,-1.617726328
Ba2Dy6Fe8O24,-2.555,-6.7942,0,0,270.0079129,-1.746806189
Gd8Fe8O24,-3.547,-10.1133,0,0.275,293.7439885,-1.831649887
Ba7Gd1Fe8O24,-1.317,-2.6521,0,0,83.92079694,-1.498837422
Ba6Gd2Fe8O24,-1.495,-3.2477,0,0.218,98.51156618,-1.564352738
Ba4Gd4Fe8O24,-1.757,-4.1243,0,0,108.6668547,-1.714409621
Ba2Gd6Fe8O24,-1.849,-4.4321,0,1.527,70.97342159,-1.903261754
Ho8Fe8O24,-3.541,-10.0932,0.485,0.555,417.7519315,-1.766937334
Ba7Ho1Fe8O24,-1.267,-2.4848,0,0,99.06622089,-1.492766322
Ba6Ho2Fe8O24,-1.428,-3.0235,0,0.184,129.1284141,-1.551884538
Ba4Ho4Fe8O24,-1.971,-4.8403,0,0.109,254.2650505,-1.60510872
Ba2Ho6Fe8O24,-2.577,-6.8678,0,0,291.384616,-1.730646902
Ba7La1Fe8O24,-1.356,-2.7826,0,0,66.0766101,-1.517900247
Ba7La1Fe7Co1O24,-1.4,-2.9298,0,0.363,86.04966315,-1.480423711
Ba7La1Fe6Co2O24,-1.466,-3.1506,0,0,97.04621619,-1.451923676
Ba7La1Fe4Co4O24,-1.511,-3.3012,0,0,111.4422938,-1.381836855
Ba6La2Fe8O24,-1.558,-3.4585,0,0,60.35669252,-1.604944888
Ba6La2Fe7Co1O24,-1.658,-3.793,0,0,73.01999556,-1.574778102
Ba6La2Fe6Co2O24,-1.695,-3.9168,0,0,89.72129861,-1.540573317
Ba6La2Fe4Co4O24,-1.751,-4.1042,0,0,100.9711205,-1.469495996
Ba4La4Fe6Co2O24,-2.056,-5.1247,0,0,106.616452,-1.678054099
Mg8Fe8O24,-1.515,-3.3146,0,0,636.3393247,-0.898799179
Ba7Mg1Fe8O24,-1.184,-2.2071,0,0,156.2297298,-1.352330927
Ba6Mg2Fe8O24,-1.242,-2.4012,0,0.185,236.664682,-1.277804499
Ba4Mg4Fe8O24,-1.345,-2.7458,0,0.111,408.4885862,-1.117797642
Ba2Mg6Fe8O24,-1.457,-3.1205,0,0,515.8053305,-1.014907035
Nd8Fe8O24,-3.074,-8.5307,0.594,0.698,209.8692985,-1.892934511
Ba7Nd1Fe8O24,-1.239,-2.3911,0,0,71.90056154,-1.505770531
Ba6Nd2Fe8O24,-1.367,-2.8194,0,0.258,73.92834539,-1.578761707
Ba4Nd4Fe8O24,-1.839,-4.3986,0,0,122.3896631,-1.680338308
Ba2Nd6Fe8O24,-2.296,-5.9277,0,0.541,132.8149808,-1.819950909
Ba7Pr1Fe8O24,-1.232,-2.3677,0,0,68.67920135,-1.506965255
Ba6Pr2Fe8O24,-1.354,-2.7759,0,0.295,67.13987502,-1.581496905
Sm8Fe8O24,-3.246,-9.1062,0.556,0.626,272.8043925,-1.8572662
Ba7Sm1Fe8O24,-1.248,-2.4213,0,0,78.67122954,-1.502408211
Ba6Sm2Fe8O24,-1.39,-2.8964,0,0.221,88.11493139,-1.571391817
Ba4Sm4Fe8O24,-1.877,-4.5258,0,0,157.7155851,-1.658645778
Ba2Sm6Fe8O24,-2.39,-6.2422,0,0.504,178.2357388,-1.794980239
Sr8Fe8O24,-1.541,-3.4016,0,0.111,86.43036922,-1.503292082
Ba7Sr1Fe8O24,-1.193,-2.2372,0,0,80.73776665,-1.432928634
Ba6Sr2Fe8O24,-1.239,-2.3911,0,0,84.20250562,-1.440478162
Ba4Sr4Fe8O24,-1.348,-2.7558,0,0,92.54373354,-1.454165469
Ba2Sr6Fe8O24,-1.445,-3.0804,0,0,89.50296147,-1.479234775
Ba8Al8O24,-1.503,-3.2744,0,5.445,227.4912848,-2.118311086
Ba8Al1Fe7O24,-1.219,-2.3242,0,0.185,113.1353022,-1.495843666
Ba8Al2Fe6O24,-1.234,-2.3744,0,0,136.3160768,-1.578989726
Ba8Al4Fe4O24,-1.267,-2.4848,0,1.903,175.3796258,-1.752579846
Ba8Al6Fe2O24,-1.37,-2.8294,0,1.896,201.8175651,-1.936929466
Ba8Fe2Nb1Co5O24,-1.413,-2.9733,0,0,122.3113557,-1.422003611
Ba8Cu8O24,-1.158,-2.1201,0,0,274.349274,-0.809151966
Ba8Fe7Cu1O24,-1.142,-2.0666,0,0,103.8011105,-1.347321776
Ba8Fe6Cu2O24,-1.084,-1.8725,0,0,134.1806934,-1.265412946
Ba8Fe4Cu4O24,-1.12,-1.993,0,0,198.0618591,-1.098473286
Ba8Fe2Cu6O24,-1.176,-2.1804,0,0.658,237.5212748,-0.955955376
Ba8Ga8O24,-1.181,-2.1971,0,2.015,278.3077818,-1.513289541
Ba8Ga1Fe7O24,-1.091,-1.896,0,0,102.0364363,-1.437099348
Ba8Ga2Fe6O24,-1.079,-1.8558,0,0.478,128.3643449,-1.447255089
Ba8Ga4Fe4O24,-1.128,-2.0198,0,1.392,182.7409121,-1.465845823
Ba8Ga6Fe2O24,-1.069,-1.8224,0,1.71,238.3342292,-1.483219807
Ba8Hf8O24,-1.517,-3.3213,3.403,3.483,8.216444,-3.007047017
Ba8Hf1Fe7O24,-1.198,-2.254,0,0.441,73.49782973,-1.61823072
