Material composition,O p-band center (eV),Predicted Log k* (cm/s),Bandgap (eV),Charge transfer gap (eV),Energy above convex hull (meV/atom),Formation energy (eV/atom)
Ba8Zr4Fe4O24,-1.195,-2.2439,0,1.901,26.88964985,-2.157936308
Ba8Zr6Fe2O24,-1.19,-2.2272,0,2.03,0,-2.533946284
Ba8Zr7Fe1O24,-1.184,-2.2071,0,2.17,0,-2.726921272
Ba8Zr6Fe1Co1O24,-1.355,-2.7793,0,0,19.46088327,-2.484811748
Ba8Zr5Fe1Co2O24,-1.428,-3.0235,0,0,56.47995687,-2.251472225
Ba8Zr3Fe1Co4O24,-1.65,-3.7663,0,0,74.58610407,-1.840725178
Ba8Zr6Fe1Cu1O24,-1.273,-2.5049,0,1.835,29.16320729,-2.445367204
Ba8Zr5Fe1Cu2O24,-1.302,-2.6019,0,1.206,78.02361062,-2.174580886
Ba8Zr3Fe1Cu4O24,-1.415,-2.98,0,0.609,149.6111673,-1.6591415
Ba8Hf1Zr6Fe1O24,-1.275,-2.5116,0,2.159,0,-2.737824648
Ba8Hf2Zr5Fe1O24,-1.296,-2.5819,0,2.16,0,-2.748078523
Ba8Hf4Zr3Fe1O24,-1.31,-2.6287,0,2.163,1.167639961,-2.769420525
Ba8Zr6Fe1Mo1O24,-2.235,-5.7236,1.16,1.195,53.828979,-2.543998561
Ba8Zr5Fe1Mo2O24,-2.529,-6.7072,1.029,1.101,130.8614158,-2.33457985
Ba8Zr3Fe1Mo4O24,-2.896,-7.9351,0.743,0.814,307.8305393,-1.892838178
Ba8Zr6Nb1Fe1O24,-1.872,-4.509,2.004,2.074,0,-2.719177966
Ba8Zr5Nb2Fe1O24,-3.143,-8.7615,0.336,0.403,0,-2.66665641
Ba8Zr3Nb4Fe1O24,-4.19,-12.2646,0,0,10.5881855,-2.543572798
Ba8Zr6Fe1Ni1O24,-1.256,-2.448,0,1.92,22.64126389,-2.443424858
Ba8Zr5Fe1Ni2O24,-1.205,-2.2774,0,0,66.14597382,-2.169529944
Ba8Zr3Fe1Ni4O24,-1.327,-2.6856,0,0.876,140.1344572,-1.631705116
Ba8Zr6Ta1Fe1O24,-1.887,-4.5592,2.18,2.25,0,-2.748226389
Ba8Zr5Ta2Fe1O24,-3.093,-8.5943,0.873,0.94,0,-2.724820006
Ba8Zr3Ta4Fe1O24,-4.799,-14.3022,0,0,29.91808225,-2.628216991
Ba8Zr6Fe1W1O24,-4.249,-12.462,0,0,80.30888725,-2.531540073
Ba8Zr6Zn1Fe1O24,-1.214,-2.3075,0,2.229,31.12904856,-2.478684074
Ba8Zr5Zn2Fe1O24,-1.162,-2.1335,0,0.106,79.33429315,-2.243835627
Ba8Zr3Zn4Fe1O24,-1.207,-2.2841,0,0.143,177.6330323,-1.772250483
Ba8Hf4Ni4O24,-1.18,-2.1937,0,2.695,177.4418037,-1.838971357
Ba8Hf6Ni2O24,-1.175,-2.177,0,2.963,96.85869836,-2.420450187
Ba8Hf7Ni1O24,-1.231,-2.3644,0,0,51.86444618,-2.714421727
Ba8Nb4Ni4O24,-1.294,-2.5752,0,2.94,70.35410236,-1.80763963
Ba8Nb6Fe2O24,-4.082,-11.9033,0,0,236.6998587,-2.096730948
Ba8Nb7Ni1O24,-4.38,-12.9003,0,0,74.77205304,-2.307116704
Ba8Ta4Ni4O24,-1.325,-2.6789,0,3.219,88.18349836,-1.917420573
Ba8Ta6Ni2O24,-4.787,-14.262,0,0,112.0035505,-2.350999135
Ba8Ta7Ni1O24,-5.127,-15.3996,0,0,127.2399666,-2.418641916
Ba8Zr4Ni4O24,-1.194,-2.2406,0,2.345,139.5996837,-1.802351854
Ba8Zr6Ni2O24,-1.163,-2.1369,0,2.835,50.49019186,-2.355729182
Ba8Zr7Ni1O24,-1.186,-2.2138,0,2.943,0,-2.638521346
Ba4Sr4Al8O24,-1.601,-3.6023,0,5.165,212.3025211,-2.174054949
Ba4Sr4Al1Fe7O24,-1.425,-3.0135,0,0,127.825789,-1.525814779
Ba4Sr4Al2Fe6O24,-1.427,-3.0202,0,0,149.8500945,-1.610721839
Ba4Sr4Al4Fe4O24,-1.53,-3.3648,0,1.836,198.1066642,-1.775521959
Ba4Sr4Al6Fe2O24,-1.537,-3.3882,0,1.931,206.1582362,-1.976239579
Ba4Sr4Cu8O24,-1.322,-2.6688,0,3.953,288.4865628,-0.840356079
Ba4Sr4Fe7Cu1O24,-1.302,-2.6019,0,0,119.778837,-1.375804139
Ba4Sr4Fe6Cu2O24,-1.224,-2.341,0,0,151.7974405,-1.292659309
Ba4Sr4Fe4Cu4O24,-1.259,-2.4581,0,0,218.9463975,-1.123257899
Ba4Sr4Fe2Cu6O24,-1.317,-2.6521,0,0.527,253.560446,-0.983566989
Ba4Sr4Ga8O24,-1.246,-2.4146,0,2.374,289.7129778,-1.532185904
Ba4Sr4Ga1Fe7O24,-1.266,-2.4815,0,0.257,118.3026576,-1.465192461
Ba4Sr4Ga2Fe6O24,-1.221,-2.3309,0,0.329,145.1978317,-1.475083202
Ba4Sr4Ga4Fe4O24,-1.238,-2.3878,0,1.314,202.6896798,-1.491163186
Ba4Sr4Ga6Fe2O24,-1.184,-2.2071,0,1.344,251.7717436,-1.51144167
Ba4Sr4Zn8O24,-1.136,-2.0465,0,4.211,377.5020086,-1.025792545
Ba4Sr4Zn1Fe7O24,-1.264,-2.4748,0,0,119.7749833,-1.411024259
Ba4Sr4Zn2Fe6O24,-1.211,-2.2975,0,0,150.4727082,-1.36429005
Ba4Sr4Zn4Fe4O24,-1.162,-2.1335,0,0,219.4021335,-1.263161132
Ba4Sr4Zn6Fe2O24,-1.23,-2.361,0,0,294.893175,-1.152772713
Ba2La6Co8O24,-2.436,-6.3961,0,0,59.63498938,-1.663537668
Ba4La4Co8O24,-2.037,-5.0611,0,0,117.6505299,-1.463276636
Ca2La6Co8O24,-2.574,-6.8578,0,0,50.02545233,-1.693684058
Ca4La4Co8O24,-2.402,-6.2823,0,0,75.15595576,-1.546844915
La6Dy2Co8O24,-2.806,-7.634,0,0,59.55211041,-1.822699279
La4Dy4Co8O24,-2.463,-6.4864,0,0,70.83577191,-1.828248858
La6Gd2Co8O24,-3.326,-9.3738,0,0,0,-2.207747551
La4Gd4Co8O24,-3.287,-9.2433,0,0,0,-2.194891402
Co8Ho2O24La6,-3.257,-9.143,0,0,0,-2.22172585
La4Ho4Co8O24,-2.622,-7.0184,0,0,71.22675703,-1.833328
La6Nd2Co8O24,-2.79,-7.5805,0,0,33.91917722,-1.81950427
La4Nd4Co8O24,-2.806,-7.634,0,0,41.17090553,-1.800257839
La6Sm2Co8O24,-2.804,-7.6273,0,0,43.19281587,-1.820236879
La4Sm4Co8O24,-2.837,-7.7377,0,0,59.05468284,-1.802386558
Sr2La6Co8O24,-2.661,-7.1489,0,0,33.13845536,-1.697041725
Sr4La4Co8O24,-2.322,-6.0146,0.183,0.203,45.21596181,-1.549726249
La8Cr1Co7O24,-2.825,-7.6976,0,0,34.47065573,-1.898585083
La8Cr2Co6O24,-2.823,-7.6909,0.216,0.243,60.12311255,-1.940570215
La8Fe1Co7O24,-2.58,-6.8779,0,0,40.91463492,-1.860482486
La8Fe2Co6O24,-2.675,-7.1957,0,0,39.33157093,-1.898044521
La8Mg1Co7O24,-3.104,-8.6311,0,0,0,-2.268157338
La8Mg2Co6O24,-2.947,-8.1058,0,0,0,-2.310446477
La8Mg4Co4O24,-2.513,-6.6537,0,0.683,0,-2.385439753
La8Mn1Co7O24,-2.746,-7.4333,0.121,0.121,27.99263983,-1.891598461
La8Mn2Co6O24,-2.801,-7.6173,0.181,0.211,29.94908075,-1.943814971
La8Co7Ni1O24,-2.732,-7.3864,0.336,0.336,48.91154301,-1.79147906
La8Co6Ni2O24,-2.379,-6.2054,0,0,47.01813711,-1.768344919
La8Co4Ni4O24,-2.42,-6.3425,0,0,55.71532531,-1.709592638
La8Co8O24,-2.737,-7.4032,0,0,25.83894891,-1.8395792
Ba2La6Cr8O24,-2.561,-6.8143,0,0,16.66840972,-2.244336479
Ba4La4Cr8O24,-2.299,-5.9377,0,0,62.16796594,-2.053322947
Ca2La6Cr8O24,-2.5,-6.6102,0.355,0.383,0,-2.297925369
Ca4La4Cr8O24,-2.391,-6.2455,0.357,0.385,0.203972667,-2.150521976
La4Dy4Cr8O24,-2.426,-6.3626,2.1,2.128,0,-2.438387669
La6Gd2Cr8O24,-4.005,-11.6456,0.555,0.608,0,-2.781641862
La4Gd4Cr8O24,-4.019,-11.6925,0.557,0.61,0,-2.775980463
La6Ho2Cr8O24,-2.545,-6.7608,2.011,2.065,0,-2.430117911
La4Ho4Cr8O24,-2.453,-6.4529,2.074,2.129,0,-2.439570061
La6Nd2Cr8O24,-2.547,-6.7675,2.009,2.036,0,-2.418153331
La4Nd4Cr8O24,-2.433,-6.386,2.04,2.067,0,-2.4060189
La6Sm2Cr8O24,-2.556,-6.7976,1.982,2.036,0,-2.42340544
La4Sm4Cr8O24,-2.423,-6.3526,2.071,2.098,0,-2.418493869
Sr2La6Cr8O24,-2.595,-6.9281,0,0,0,-2.278545536
Sr4La4Cr8O24,-2.361,-6.1451,0.356,0.383,4.514301375,-2.13181106
La8Cr7Co1O24,-2.639,-7.0753,0.48,0.534,0,-2.359609879
La8Cr6Co2O24,-2.562,-6.8176,0,0.107,0,-2.284171496
La8Cr4Co4O24,-2.415,-6.3258,0.559,0.612,0,-2.140550731
La8Cr7Fe1O24,-2.587,-6.9013,1.946,2.014,0,-2.403666414
La8Cr6Fe2O24,-2.545,-6.7608,1.842,1.944,0,-2.375530067
La8Mg1Cr7O24,-3.605,-10.3073,0,0.606,0,-2.828368017
La8Mg2Cr6O24,-3.432,-9.7285,0,0.634,0,-2.811684272
La8Mg4Cr4O24,-3.054,-8.4638,0,1.011,0,-2.768165784
La8Mn1Cr7O24,-3.065,-8.5006,0.211,0.271,0,-2.403381139
La8Mn2Cr6O24,-2.962,-8.156,0.392,0.423,0,-2.377242517
La8Mn4Cr4O24,-2.765,-7.4968,0.602,0.632,0,-2.331426772
La8Cr7Ni1O24,-2.611,-6.9816,0.152,0.189,0,-2.335207988
La8Cr6Ni2O24,-2.507,-6.6336,0.264,0.302,0,-2.222467465
La8Cr4Ni4O24,-2.213,-5.65,0.757,0.795,0,-2.050549668
La8Cr8O24,-2.624,-7.0251,1.948,2.001,0,-2.431085511
Ba2La6Fe8O24,-2.317,-5.9979,0,0.954,0,-2.003512701
Ba4La4Fe8O24,-1.998,-4.9306,0,0.665,3.608107346,-1.824342919
Ca2La6Fe8O24,-2.301,-5.9444,0,1.059,0,-2.034383841
Ca4La4Fe8O24,-2.116,-5.3254,0,0.737,0.593437233,-1.894836948
La6Dy2Fe8O24,-2.604,-6.9582,1.232,1.335,0,-2.177125562
La4Dy4Fe8O24,-2.418,-6.3358,1.304,1.374,0,-2.184403641
La6Gd2Fe8O24,-3.709,-10.6553,0,0,0,-2.528814834
La4Gd4Fe8O24,-3.677,-10.5482,0,0,0,-2.530596935
La6Ho2Fe8O24,-2.599,-6.9414,1.233,1.336,0,-2.173331633
La4Ho4Fe8O24,-2.433,-6.386,1.305,1.375,0,-2.185513033
La6Nd2Fe8O24,-2.621,-7.015,1.196,1.299,0,-2.165611803
La4Nd4Fe8O24,-2.424,-6.3559,1.229,1.334,0,-2.153237122
La6Sm2Fe8O24,-2.597,-6.9347,1.232,1.335,0,-2.170608912
La4Sm4Fe8O24,-2.415,-6.3258,1.266,1.336,0,-2.165137591
Sr2La6Fe8O24,-2.351,-6.1117,0,0.988,0,-2.032394758
Sr4La4Fe8O24,-2.154,-5.4526,0,0.596,0,-1.882680782
La8Fe7Co1O24,-2.724,-7.3597,1.09,1.192,0,-2.142089948
La8Fe6Co2O24,-2.776,-7.5336,0.988,1.09,0,-2.106539412
La8Fe4Co4O24,-2.751,-7.45,0.136,0.17,1.920942953,-2.007413092
La8Cr1Fe7O24,-2.669,-7.1756,1.226,1.295,0,-2.21407383
La8Cr2Fe6O24,-2.808,-7.6407,1.158,1.26,19.90147863,-2.196665678
La8Cr4Fe4O24,-2.44,-6.4095,1.84,1.942,0,-2.319400122
La8Mg1Fe7O24,-3.623,-10.3675,0,0,0,-2.625085836
La8Mg2Fe6O24,-3.469,-9.8523,0,0,0,-2.626363189
La8Mg4Fe4O24,-3.29,-9.2534,0,0,0,-2.632480145
La8Mn1Fe7O24,-3.276,-9.2065,0.342,0.377,0,-2.185010208
La8Mn2Fe6O24,-3.427,-9.7118,0.578,0.646,27.03043917,-2.147419933
La8Mn4Fe4O24,-3.241,-9.0894,0.545,0.579,0,-2.213869383
La8Fe7Ni1O24,-2.247,-5.7637,0,1.276,0,-2.117691807
La8Fe6Ni2O24,-2.378,-6.202,0,0.985,0,-2.048282631
La8Fe4Ni4O24,-2.321,-6.0113,0,1.252,0,-1.911433779
La8Fe8O24,-2.643,-7.0886,1.227,1.295,0,-2.178901233
Ba2La6Ga8O24,-1.88,-4.5358,0,3.102,94.50620971,-2.142007386
Ba4La4Ga8O24,-1.748,-4.0942,0,2.73,169.7693805,-1.931469354
Ca2La6Ga8O24,-1.826,-4.3551,0,3.444,73.97414683,-2.173541276
Ca4La4Ga8O24,-1.679,-3.8633,0,3.468,139.3700039,-1.991198883
La6Dy2Ga8O24,-2.126,-5.3589,3.247,3.285,25.36959074,-2.352538497
La4Dy4Ga8O24,-1.889,-4.5659,3.323,3.363,32.07826851,-2.360957076
La6Gd2Ga8O24,-2.127,-5.3622,2.935,2.961,85.96097361,-2.276456519
La4Gd4Ga8O24,-2.056,-5.1247,3.059,3.085,89.23565059,-2.27288562
La6Ho2Ga8O24,-2.137,-5.3957,3.228,3.267,26.82825386,-2.352220068
La4Ho4Ga8O24,-1.879,-4.5325,3.327,3.347,33.56831065,-2.362066468
La6Nd2Ga8O24,-2.109,-5.302,3.266,3.311,12.63281495,-2.341674988
La4Nd4Ga8O24,-1.847,-4.4254,3.295,3.342,15.44290641,-2.330161307
La6Sm2Ga8O24,-2.12,-5.3388,3.254,3.302,17.33731032,-2.346440347
La4Sm4Ga8O24,-1.831,-4.3719,3.31,3.335,22.3715509,-2.341972526
Sr2La6Ga8O24,-1.855,-4.4522,0,3.331,75.38976676,-2.171130443
Sr4La4Ga8O24,-1.748,-4.0942,0,3.186,135.1680126,-1.987260217
La8Ga7Co1O24,-2.42,-6.3425,0.883,0.94,11.84797082,-2.292138641
La8Ga6Co2O24,-2.471,-6.5132,0.826,0.883,16.57505557,-2.230860114
La8Ga4Co4O24,-2.51,-6.6437,0.71,0.768,26.31847508,-2.108013809
La8Cr1Ga7O24,-2.42,-6.3425,3.149,3.176,1.747132,-2.364538524
La8Cr2Ga6O24,-2.504,-6.6236,2.701,2.754,0,-2.374713879
La8Mn4Ga4O24,-2.376,-6.1953,2.342,2.395,0,-2.393529851
La8Ga7Fe1O24,-2.313,-5.9845,2.479,2.546,0,-2.335473176
La8Ga6Fe2O24,-2.398,-6.2689,2.309,2.377,0,-2.315935434
La8Ga4Fe4O24,-2.383,-6.2187,2.14,2.242,0,-2.276335951
La8Mg1Ga7O24,-1.838,-4.3953,0,3.75,34.94084008,-2.354874529
La8Mg2Ga6O24,-1.773,-4.1778,0,3.972,60.36059818,-2.35469414
La8Mg4Ga4O24,-1.671,-3.8365,0,4.386,108.2246685,-2.353270862
La8Mn1Ga7O24,-3.48,-9.8891,1.531,1.589,33.43611227,-2.311791151
La8Mn2Ga6O24,-3.061,-8.4872,0.898,0.928,7.745588477,-2.322170885
La8Ga7Ni1O24,-2.306,-5.9611,0,0,25.17480383,-2.257032
La8Ga6Ni2O24,-2.36,-6.1418,0.114,0.114,40.61873268,-2.160009082
La8Ga4Ni4O24,-2.34,-6.0749,0,0,67.08510148,-1.967136997
La8Ga8O24,-2.136,-5.3923,3.264,3.283,6.371386071,-2.354166668
Ba2La6Mn8O24,-2.928,-8.0422,0,0,43.36372073,-2.058584002
Ca2La6Mn8O24,-2.99,-8.2496,0,0,32.78993069,-2.086982891
Ca4La4Mn8O24,-2.556,-6.7976,0,0,38.14616569,-1.963347749
La6Dy2Mn8O24,-2.912,-7.9887,0,0,53.84255407,-2.196951113
La4Dy4Mn8O24,-2.822,-7.6875,0,0,60.52191244,-2.203013692
La6Gd2Mn8O24,-4.059,-11.8263,0,0,0,-2.560419884
La4Gd4Mn8O24,-3.929,-11.3913,0,0,0,-2.557479985
La6Ho2Mn8O24,-2.908,-7.9753,0,0,56.75173357,-2.196571934
La4Ho4Mn8O24,-2.834,-7.7277,0,0,65.03127144,-2.203564334
La6Nd2Mn8O24,-2.963,-8.1593,0,0,40.25443982,-2.186169603
La4Nd4Mn8O24,-2.843,-7.7578,0,0,40.83543394,-2.173960922
La6Sm2Mn8O24,-2.945,-8.0991,0,0,43.48823119,-2.189827463
La4Sm4Mn8O24,-2.774,-7.5269,0,0,44.85051669,-2.183729142
Sr2La6Mn8O24,-2.983,-8.2262,0,0.18,32.14395136,-2.086709808
Sr4La4Mn8O24,-2.383,-6.2187,0,0,39.24127519,-1.953616583
La8Mn7Co1O24,-3.076,-8.5374,0,0,36.50751242,-2.162558773
La8Mn6Co2O24,-2.883,-7.8916,0,0,48.99432914,-2.111086513
La8Mn4Co4O24,-2.611,-6.9816,0.787,0.817,26.7022126,-2.055407742
La8Mn7Cr1O24,-2.969,-8.1794,0,0,43.12521542,-2.215984906
La8Mn6Cr2O24,-2.971,-8.1861,0,0,49.84773514,-2.230320778
La8Mn7Fe1O24,-3.021,-8.3534,0,0,40.26469461,-2.187186808
La8Mn6Fe2O24,-3.03,-8.3835,0,0,43.99569352,-2.172855583
La8Mg1Mn7O24,-3.943,-11.4382,0,0,0,-2.596978161
La8Mg2Mn6O24,-3.926,-11.3813,0,0,0,-2.625653539
La8Mg4Mn4O24,-2.412,-6.3158,1.498,1.557,0,-2.657694045
La8Mn7Ni1O24,-2.953,-8.1258,0,0,31.3433527,-2.135101632
La8Mn6Ni2O24,-2.946,-8.1024,0,0,19.2047597,-2.075633481
La8Mn4Ni4O24,-2.224,-5.6868,1.215,1.215,0.442073704,-1.951182679
La8Mn8O24,-3.043,-8.427,0,0,39.22644569,-2.198825283
Ba2La6Ni8O24,-1.917,-4.6596,0,0.649,162.3085821,-1.335043043
Ba4La4Ni8O24,-1.755,-4.1176,0,0,210.8089291,-1.115862261
Ca2La6Ni8O24,-2.011,-4.9741,0,0.536,178.0014551,-1.365487683
Ca4La4Ni8O24,-1.804,-4.2815,0,0.23,232.2092086,-1.18957129
La6Dy2Ni8O24,-2.239,-5.7369,0,0.917,157.3743632,-1.524656654
La4Dy4Ni8O24,-2.203,-5.6165,0,0,181.9107747,-1.516953483
La6Gd2Ni8O24,-2.973,-8.1928,0,0,0,-2.162580426
La6Ho2Ni8O24,-2.231,-5.7102,0,0,161.6158558,-1.523150225
La4Ho4Ni8O24,-2.205,-5.6232,0,0,189.6445098,-1.514689875
La6Nd2Ni8O24,-2.201,-5.6098,0,0.878,131.30468,-1.521898395
La4Nd4Ni8O24,-2.109,-5.302,0,0.858,133.5596583,-1.507648714
La6Sm2Ni8O24,-2.214,-5.6533,0,0,140.1983187,-1.523011004
La4Sm4Ni8O24,-2.148,-5.4325,0,0.859,150.5081857,-1.510712683
Sr2La6Ni8O24,-1.982,-4.8771,0,0,155.7928691,-1.3647396
Sr4La4Ni8O24,-1.803,-4.2782,0,0,194.2685366,-1.181598624
La8Co1Ni7O24,-2.198,-5.5998,0,0,108.9798576,-1.581245466
La8Co2Ni6O24,-2.258,-5.8005,0,0,86.40676351,-1.628846106
La8Cr1Ni7O24,-2.247,-5.7637,0,0,114.2473144,-1.643615598
La8Cr2Ni6O24,-2.32,-6.008,0,0,95.76367716,-1.754764372
La8Fe1Ni7O24,-2.283,-5.8842,0,0.647,115.2002936,-1.611004001
La8Fe2Ni6O24,-2.37,-6.1752,0,0,102.5143855,-1.684696427
La8Mg1Ni7O24,-2.791,-7.5838,0,1.135,0,-2.222312104
La8Mg2Ni6O24,-2.666,-7.1656,0,0,0,-2.265586133
La8Mg4Ni4O24,-2.158,-5.4659,0.8,0.838,0,-2.349057441
La8Mn1Ni7O24,-2.23,-5.7068,0,0.343,100.4570447,-1.636347476
La8Mn2Ni6O24,-2.285,-5.8909,0,0,69.26938771,-1.739141877
La8Ni8O24,-2.187,-5.563,0,0,128.9359517,-1.536261825
Ba2La6Sc8O24,-1.452,-3.1038,0,3.772,14.09444405,-3.002093623
Ba4La4Sc8O24,-1.436,-3.0503,0,3.9,42.29589311,-2.806273091
Ca2La6Sc8O24,-1.405,-2.9465,0,3.895,30.46897905,-3.024746263
Ca4La4Sc8O24,-1.361,-2.7993,0,4.001,87.36071311,-2.83926262
La6Dy2Sc8O24,-1.727,-4.0239,3.706,3.792,0,-3.204215734
La4Dy4Sc8O24,-1.657,-3.7897,3.851,3.909,0,-3.207795563
La6Gd2Sc8O24,-1.717,-3.9904,2.934,2.963,30.22875,-3.147375256
La4Gd4Sc8O24,-1.714,-3.9804,3.055,3.084,29.653255,-3.141747607
La6Ho2Sc8O24,-1.73,-4.0339,3.708,3.765,0,-3.203907555
La4Ho4Sc8O24,-1.676,-3.8533,3.85,3.908,0.992490625,-3.208500205
La6Nd2Sc8O24,-1.703,-3.9436,3.699,3.756,0,-3.193954225
La4Nd4Sc8O24,-1.636,-3.7194,3.788,3.874,0,-3.180075044
La6Sm2Sc8O24,-1.706,-3.9536,3.701,3.787,0,-3.198367834
La4Sm4Sc8O24,-1.642,-3.7395,3.819,3.877,0,-3.190757013
Sr2La6Sc8O24,-1.419,-2.9934,0,3.832,11.93148749,-3.02382593
Sr4La4Sc8O24,-1.387,-2.8863,0,4.021,49.36322998,-2.838344454
La8Sc7Co1O24,-1.97,-4.8369,1.032,1.089,0,-3.035703692
La8Sc6Co2O24,-2.059,-5.1347,0.916,0.973,0,-2.863780729
La8Sc4Co4O24,-2.263,-5.8172,0.829,0.886,0,-2.525178553
La8Sc7Cr1O24,-2.031,-5.041,2.948,3.005,0,-3.109946075
La8Sc6Cr2O24,-2.195,-5.5897,2.807,2.864,0,-3.012704494
La8Sc4Cr4O24,-2.352,-6.115,2.836,2.894,0,-2.822542583
La8Sc7Fe1O24,-1.926,-4.6897,2.447,2.515,0,-3.080372977
La8Sc6Fe2O24,-1.98,-4.8704,2.31,2.378,0,-2.9525163
La8Sc4Fe4O24,-2.106,-5.292,2.173,2.275,0,-2.699060194
La8Mg1Sc7O24,-1.455,-3.1138,0,3.862,5.056256339,-3.09574308
La8Mg2Sc6O24,-1.457,-3.1205,0,3.921,34.36901768,-2.983422505
La8Mg4Sc4O24,-1.447,-3.0871,0,4.195,89.91354036,-2.761862356
La8Sc7Mn1O24,-3.029,-8.3801,1.362,1.422,9.523520087,-3.056064202
La8Sc6Mn2O24,-2.718,-7.3396,0.75,0.78,0,-2.958589
La8Sc4Mn4O24,-2.664,-7.1589,1.048,1.078,0,-2.718608344
La8Sc7Ni1O24,-1.726,-4.0206,0,3.034,0,-2.998826551
La8Sc6Ni2O24,-1.831,-4.3719,0,2.395,16.20435918,-2.787950448
La8Sc4Ni4O24,-2.148,-5.4325,0.228,0.266,44.41847336,-2.38008399
La8Sc8O24,-1.716,-3.9871,0,3.619,0,-3.208486405
Ba2La6Ti8O24,-5.215,-15.694,0,0,14.81005156,-2.830398081
Ba4La4Ti8O24,-4.87,-14.5397,0,0,13.80460838,-2.789404549
Ca2La6Ti8O24,-5.289,-15.9416,0,0,8.970625875,-2.85557872
Ca4La4Ti8O24,-5.013,-15.0182,0,0,0,-2.845021828
La6Dy2Ti8O24,-5.496,-16.6342,0,0,52.62963569,-2.841028442
La4Dy4Ti8O24,-5.385,-16.2628,0,0,60.68027663,-2.839428771
La6Gd2Ti8O24,-5.465,-16.5305,0,0,34.51982144,-2.845606213
La4Gd4Ti8O24,-5.447,-16.4703,0,0,34.14939813,-2.838895564
La6Ho2Ti8O24,-5.478,-16.574,0,0,55.37827769,-2.839385013
La4Ho4Ti8O24,-5.374,-16.226,0,0,62.11081063,-2.840208663
La6Nd2Ti8O24,-5.463,-16.5238,0,0,35.50340569,-2.837218932
La4Nd4Ti8O24,-5.511,-16.6844,0,0,40.79731663,-2.817440251
La6Sm2Ti8O24,-5.481,-16.584,0,0,42.32480613,-2.838161542
La4Sm4Ti8O24,-5.498,-16.6409,0,0,50.8263675,-2.822939221
Sr2La6Ti8O24,-5.269,-15.8747,0,0,7.378966986,-2.857173637
Sr4La4Ti8O24,-4.984,-14.9212,0,0,0,-2.844544162
La8Ti7Co1O24,-5.24,-15.7777,0,0,88.38029969,-2.786781561
La8Ti6Co2O24,-4.977,-14.8977,0,0,141.4705436,-2.712337509
La8Ti4Co4O24,-2.723,-7.3563,1.82,1.888,23.94141725,-2.553876156
La8Ti7Cr1O24,-5.366,-16.1993,0,0,74.7468692,-2.796753194
La8Ti6Cr2O24,-5.269,-15.8747,0,0,117.1257784,-2.736682275
La8Ti4Cr4O24,-4.161,-12.1676,0.608,0.675,62.94422008,-2.641767437
La8Ti7Fe1O24,-5.309,-16.0086,0,0,79.23257647,-2.796415846
La8Ti6Fe2O24,-5.104,-15.3227,0,0,118.5429729,-2.73526508
La8Ti4Fe4O24,-3.113,-8.6612,1.689,1.756,28.81237225,-2.616754548
La8Mg1Ti7O24,-5.299,-15.9751,0,0,25.722252,-2.871165949
La8Mg2Ti6O24,-5.085,-15.2591,0,0,24.13350925,-2.882435786
La8Mg4Ti4O24,-1.865,-4.4856,2.931,2.964,22.18427375,-2.903747209
La8Ti7Mn1O24,-5.318,-16.0387,0,0,65.35570687,-2.808460571
La8Ti6Mn2O24,-5.16,-15.51,0,0,95.52052281,-2.75828753
La8Ti4Mn4O24,-3.079,-8.5474,1.655,1.723,37.34883385,-2.674541698
La8Ti7Ni1O24,-5.32,-16.0454,0,0.113,122.0387394,-2.76036667
La8Ti6Ni2O24,-5.105,-15.326,0,0,208.9890749,-2.644818978
La8Ti4Ni4O24,-2.259,-5.8039,2.611,2.686,39.83120675,-2.458826844
La8Ti8O24,-5.48,-16.5807,0,0,30.17024475,-2.857036863
Ba2La6V8O24,-3.534,-10.0698,0.692,0.73,53.85203387,-2.352156953
Ba4La4V8O24,-3.482,-9.8958,0.425,0.464,79.64651974,-2.233025421
Ca2La6V8O24,-3.632,-10.3976,0.502,0.541,33.20006813,-2.380528093
Ca4La4V8O24,-3.49,-9.9225,0.696,0.735,21.88033825,-2.30622995
La6Dy2V8O24,-3.615,-10.3408,1.219,1.258,44.856381,-2.460089064
La4Dy4V8O24,-3.61,-10.324,1.191,1.23,45.433214,-2.465111643
La6Gd2V8O24,-4.779,-14.2353,0,0,0,-2.872378336
La4Gd4V8O24,-4.737,-14.0948,0,0,0,-2.872251187
La6Ho2V8O24,-3.595,-10.2739,1.22,1.258,47.61927988,-2.458427385
La4Ho4V8O24,-3.578,-10.217,1.229,1.267,47.26926175,-2.465478035
La6Nd2V8O24,-3.656,-10.4779,1.18,1.256,35.46209575,-2.449305055
La6Sm2V8O24,-3.699,-10.6218,1.143,1.181,26.16951838,-2.453206414
La4Sm4V8O24,-3.636,-10.411,1.153,1.191,13.39023875,-2.446015593
Sr2La6V8O24,-3.624,-10.3709,0.654,0.693,29.12245041,-2.38122776
Sr4La4V8O24,-3.531,-10.0597,0.618,0.657,23.66260283,-2.297691784
La8V7Co1O24,-3.667,-10.5147,0.654,0.693,57.49950031,-2.387658512
La8V6Co2O24,-3.555,-10.14,0.578,0.617,61.21370263,-2.329756289
La8V4Co4O24,-2.994,-8.263,1.269,1.307,31.378064,-2.233302843
La8V7Cr1O24,-3.747,-10.7824,0.987,1.025,36.68524244,-2.451057395
La8V6Cr2O24,-3.559,-10.1534,1.175,1.213,48.57118688,-2.427568054
