Material composition,GGA Band gap (eV),Stability (meV/atom),Formation energy (eV/atom)
C8Cl24H48N8Au4Sb4,2.872,62.348,-0.104
C8Cl24H48N8Sb4Cu4,2.557,56.786,-0.121
C8Cl24H48N8Tl4Sb4,2.209,61.597,-0.170
C8Ag4I24H48Bi4N8,1.172,78.193,-0.003
C8I24H48Bi4N8Au4,1.546,76.635,0.010
C8I24H48Bi4N8Cu4,1.439,67.923,-0.003
C8I24H48Bi4N8Tl4,1.791,65.824,-0.048
C8Ag4I24H48N8Sb4,1.762,72.933,0.012
C8I24H48N8Au4Sb4,1.382,81.249,0.035
C8I24H48N8Sb4Cu4,1.327,73.669,0.024
C8I24H48N8Tl4Sb4,1.440,71.802,-0.022
C24Ag4H80Bi4N8Br24,2.653,104.814,0.000
C24H80Bi4N8Au4Br24,2.804,100.780,0.007
C24H80Bi4N8Br24Cu4,2.408,100.925,0.003
C24H80Bi4N8Tl4Br24,2.707,102.597,-0.031
C24Ag4H80N8Br24Sb4,2.488,101.131,0.015
C24H80N8Au4Br24Sb4,2.747,97.207,0.022
C24H80N8Br24Sb4Cu4,2.283,99.039,0.019
C24H80N8Tl4Br24Sb4,2.322,103.131,-0.012
C24Ag4Cl24H80Bi4N8,3.687,87.595,-0.041
C24Cl24H80Bi4N8Au4,3.316,86.261,-0.032
C24Cl24H80Bi4N8Cu4,2.783,84.794,-0.041
C24Cl24H80Bi4N8Tl4,3.221,95.021,-0.070
C24Ag4Cl24H80N8Sb4,3.492,96.284,-0.025
C24Cl24H80N8Au4Sb4,3.269,94.365,-0.017
C24Cl24H80N8Sb4Cu4,2.579,93.181,-0.025
C24Cl24H80N8Tl4Sb4,2.901,101.243,-0.053
C24Ag4I24H80Bi4N8,2.050,105.098,0.051
C24I24H80Bi4N8Au4,2.334,99.432,0.055
C24I24H80Bi4N8Cu4,1.361,109.267,0.062
C24I24H80Bi4N8Tl4,,101.317,0.025
C24Ag4I24H80N8Sb4,1.970,107.671,0.067
C24I24H80N8Au4Sb4,2.207,104.101,0.073
C24I24H80N8Sb4Cu4,1.294,111.338,0.078
C24I24H80N8Tl4Sb4,,106.468,0.044
C16Ag4H64Bi4N8Br24,2.474,110.664,-0.015
C16H64Bi4N8Au4Br24,2.785,107.825,-0.004
C16H64Bi4N8Br24Cu4,2.606,106.348,-0.012
C16H64Bi4N8Tl4Br24,2.336,112.264,-0.048
C16Ag4H64N8Br24Sb4,2.227,112.012,0.008
C16H64N8Au4Br24Sb4,2.574,105.742,0.016
C16H64N8Br24Sb4Cu4,2.426,106.067,0.010
C16H64N8Tl4Br24Sb4,1.931,113.267,-0.025
C16Ag4Cl24H64Bi4N8,2.908,94.095,-0.060
C16Cl24H64Bi4N8Au4,3.301,91.375,-0.051
C16Cl24H64Bi4N8Cu4,2.941,88.185,-0.062
C16Cl24H64Bi4N8Tl4,2.806,104.183,-0.094
C16Ag4Cl24H64N8Sb4,2.925,107.110,-0.039
C16Cl24H64N8Au4Sb4,3.108,103.316,-0.030
C16Cl24H64N8Sb4Cu4,2.781,100.363,-0.042
C16Cl24H64N8Tl4Sb4,2.372,113.895,-0.071
C16Ag4I24H64Bi4N8,1.060,123.606,0.059
C16I24H64Bi4N8Au4,1.375,120.666,0.067
C16I24H64Bi4N8Cu4,1.402,118.185,0.062
C16I24H64Bi4N8Tl4,1.918,113.389,0.022
C16Ag4I24H64N8Sb4,1.493,122.712,0.074
C16I24H64N8Au4Sb4,,,
C16I24H64N8Sb4Cu4,1.334,119.689,0.080
C16I24H64N8Tl4Sb4,1.637,118.499,0.044
C24Ag4H80Bi4N8Br24,,143.544,0.039
C24H80Bi4N8Au4Br24,,146.201,0.053
C24H80Bi4N8Br24Cu4,,146.952,0.049
C24H80Bi4N8Tl4Br24,,144.993,0.012
C24Ag4H80N8Br24Sb4,,139.284,0.053
C24H80N8Au4Br24Sb4,,144.012,0.069
C24H80N8Br24Sb4Cu4,1.513,141.827,0.062
C24H80N8Tl4Br24Sb4,2.390,148.755,0.034
C24Ag4Cl24H80Bi4N8,3.205,130.184,0.002
C24Cl24H80Bi4N8Au4,3.277,133.293,0.015
C24Cl24H80Bi4N8Cu4,1.696,135.904,0.010
C24Cl24H80Bi4N8Tl4,3.283,139.231,-0.026
C24Ag4Cl24H80N8Sb4,2.984,138.455,0.017
C24Cl24H80N8Au4Sb4,3.219,142.020,0.031
C24Cl24H80N8Sb4Cu4,2.819,137.367,0.019
C24Cl24H80N8Tl4Sb4,3.060,145.021,-0.009
C24Ag4I24H80Bi4N8,2.086,146.455,0.092
C24I24H80Bi4N8Au4,2.189,144.249,0.100
C24I24H80Bi4N8Cu4,1.359,149.726,0.103
C24I24H80Bi4N8Tl4,2.185,145.310,0.069
C24Ag4I24H80N8Sb4,2.047,147.068,0.107
C24I24H80N8Au4Sb4,2.095,146.370,0.115
C24I24H80N8Sb4Cu4,1.313,149.729,0.116
C24I24H80N8Tl4Sb4,1.897,150.199,0.088
C8Ag4H40Bi4N16Br24,1.551,77.677,-0.084
C8H40Bi4N16Au4Br24,1.422,101.525,-0.052
C8H40Bi4N16Br24Cu4,1.659,71.765,-0.085
C8H40Bi4N16Tl4Br24,2.173,68.915,-0.131
C8Ag4H40N16Br24Sb4,1.093,79.905,-0.054
C8H40N16Au4Br24Sb4,1.178,96.182,-0.030
C8H40N16Br24Sb4Cu4,1.587,74.985,-0.054
C8H40N16Tl4Br24Sb4,1.760,73.343,-0.102
C8Ag4Cl24H40Bi4N16,1.948,55.655,-0.146
C8Cl24H40Bi4N16Au4,2.915,66.727,-0.127
C8Cl24H40Bi4N16Cu4,1.864,51.931,-0.148
C8Cl24H40Bi4N16Tl4,2.671,60.640,-0.188
C8Ag4Cl24H40N16Sb4,1.502,76.198,-0.115
C8Cl24H40N16Au4Sb4,2.044,88.470,-0.094
C8Cl24H40N16Sb4Cu4,1.764,68.561,-0.120
C8Cl24H40N16Tl4Sb4,2.155,76.178,-0.158
C8Ag4I24H40Bi4N16,1.972,62.805,-0.018
C8I24H40Bi4N16Au4,2.195,65.044,-0.005
C8I24H40Bi4N16Cu4,1.458,71.014,-0.001
C8I24H40Bi4N16Tl4,1.765,68.015,-0.046
C8Ag4I24H40N16Sb4,1.635,71.785,0.011
C8I24H40N16Au4Sb4,1.947,69.460,0.020
C8I24H40N16Sb4Cu4,1.415,74.523,0.023
C8I24H40N16Tl4Sb4,1.422,74.430,-0.019
Cs7Na1Co8I24,1.474,0.000,-0.569
I24Na8Co8,1.464,9.655,-0.456
Cs4Na4Co8I24,1.570,13.831,-0.510
Cs6Na2Co8I24,1.494,0.148,-0.553
Cs2Na6Co8I24,1.130,14.505,-0.480
Cs7I24Co8Rb1,1.473,3.522,-0.576
I24Co8Rb8,1.483,26.950,-0.535
Cs4I24Co8Rb4,1.481,8.941,-0.563
Cs6I24Co8Rb2,1.494,1.874,-0.575
Cs2I24Co8Rb6,1.490,18.410,-0.548
Cs8I21Co8Br3,1.581,0.000,-0.629
Cs8Co8Br24,2.206,0.000,-0.838
Cs8I12Co8Br12,,,
Cs8I18Co8Br6,-0.246,218.300,-0.420
Cs8I6Co8Br18,,,
Cs8I21Co8Cl3,1.720,0.344,-0.627
Cs8Co8Cl24,1.893,0.000,-0.975
Cs8I12Co8Cl12,,,
Cs8I18Co8Cl6,,,
Cs8I6Co8Cl18,1.934,0.000,-0.935
