Material composition,GGA Band gap (eV),Stability (meV/atom),Formation energy (eV/atom)
H5C2Cu1Cl3,0.017,304.494,0.242
H5C2Cu1F3,1.059,1037.106,0.492
I3H5C2Cu1,0.424,246.382,0.238
H5C2Fe1Br3,2.880,190.335,0.131
H5C2Fe1Cl3,3.533,210.320,0.069
H5C2Fe1F3,2.445,294.990,-0.471
I3H5C2Fe1,0.404,285.449,0.285
H5Ge1C2Br3,2.369,287.185,0.155
H5Ge1C2Cl3,2.625,270.082,0.069
H5Ge1C2F3,3.858,262.155,-0.442
I3H5Ge1C2,0.707,311.240,0.258
H5Mg1C2Cl3,3.307,292.044,-0.144
H5Mg1C2Cl3,3.307,292.043,-0.144
H5Mg1C2F3,3.934,292.504,-0.777
I3H5Mg1C2,0.821,347.381,0.098
H5C2Mn1Br3,1.449,256.255,0.095
H5C2Mn1Cl3,2.357,218.002,-0.007
H5C2Mn1F3,1.667,287.599,-0.546
I3H5C2Mn1,0.586,293.388,0.210
Ni1C2Br3H5,1.513,380.473,0.342
Ni1C2Cl3H5,1.856,391.907,0.305
Ni1C2F3H5,3.214,311.287,-0.289
I3Ni1C2H5,0.700,443.918,0.444
H5C2Sn1Br3,0.961,288.278,0.116
H5C2Sn1Cl3,2.155,263.266,0.031
H5C2Sn1F3,3.419,301.208,-0.464
I3H5C2Sn1,0.450,305.047,0.211
Sr1C2Br3H5,2.025,275.015,-0.252
Sr1C2Cl3H5,4.035,252.519,-0.355
Sr1C2F3H5,4.909,300.062,-0.879
I3Sr1C2H5,0.955,306.316,-0.120
H5Zn1C2Br3,1.691,299.575,0.112
H5Zn1C2Cl3,4.140,266.290,0.025
H5Zn1C2F3,4.490,331.344,-0.402
I3H5Zn1C2,0.880,331.148,0.204
Pb1I3C2H5,0.905,320.164,0.177
Pb1H5C2Br3,1.585,274.272,0.080
Pb1H5C2Cl3,2.278,248.311,0.004
Pb1H5C2F3,3.080,284.335,-0.473
H9C4Ba1Br3,3.204,189.919,-0.164
H9C4Ba1Cl3,4.097,185.235,-0.220
H9C4Ba1F3,5.070,241.487,-0.530
I3H9C4Ba1,2.445,204.448,-0.086
Be1C4Br3H9,3.990,164.847,0.019
Be1C4Cl3H9,5.015,152.907,-0.054
Be1C4F3H9,6.477,226.679,-0.416
I3Be1C4H9,3.240,179.836,0.104
H9Ca1C4Br3,3.000,189.625,-0.133
H9Ca1C4Cl3,4.209,176.968,-0.200
H9Ca1C4F3,5.907,228.253,-0.533
I3H9Ca1C4,2.140,215.154,-0.049
H9C4Br3Cd1,3.429,190.468,0.073
H9C4Cl3Cd1,4.025,184.779,0.038
H9C4F3Cd1,4.448,262.716,-0.191
I3H9C4Cd1,2.858,198.673,0.121
H9C4Co1Br3,1.753,152.017,0.140
H9C4Co1Cl3,2.144,139.957,0.091
H9C4Co1F3,2.590,260.407,-0.174
I3H9C4Co1,1.238,202.638,0.203
H9C4Br3Cu1,0.018,202.059,0.187
H9C4Cu1Cl3,0.000,186.124,0.146
H9C4Cu1F3,0.399,273.929,-0.079
I3H9C4Cu1,0.004,230.987,0.226
H9C4Fe1Br3,3.174,137.385,0.099
H9C4Fe1Cl3,3.788,141.116,0.050
H9C4Fe1F3,3.650,268.674,-0.227
I3H9C4Fe1,2.487,165.099,0.165
H9Ge1C4Br3,2.989,182.907,0.097
H9Ge1C4Cl3,3.375,179.190,0.049
H9Ge1C4F3,4.436,195.863,-0.260
I3H9Ge1C4,2.502,191.743,0.157
H9Mg1C4Cl3,4.727,205.435,-0.077
H9Mg1C4Cl3,4.530,210.180,-0.072
H9Mg1C4F3,5.525,303.098,-0.389
I3H9Mg1C4,3.024,217.687,0.056
H9C4Mn1Br3,3.308,166.564,0.062
H9C4Mn1Cl3,3.902,157.242,0.012
H9C4Mn1F3,3.975,280.286,-0.259
I3H9C4Mn1,2.744,179.423,0.125
Ni1C4Br3H9,2.151,235.747,0.211
Ni1C4Cl3H9,2.592,219.148,0.163
Ni1C4F3H9,3.639,289.989,-0.098
I3Ni1C4H9,1.534,273.293,0.273
H9C4Sn1Br3,2.764,184.176,0.072
H9C4Sn1Cl3,3.052,179.073,0.029
H9C4Sn1F3,3.884,230.961,-0.264
I3H9C4Sn1,2.322,192.940,0.132
Sr1C4Br3H9,3.127,187.674,-0.153
Sr1C4Cl3H9,4.098,180.947,-0.212
Sr1C4F3H9,5.318,233.156,-0.530
I3Sr1C4H9,2.324,205.559,-0.070
H9Zn1C4Br3,3.968,178.805,0.057
H9Zn1C4Cl3,4.686,172.226,0.016
H9Zn1C4F3,5.259,245.665,-0.229
I3H9Zn1C4,3.253,196.396,0.114
Pb1I3C4H9,2.057,209.825,0.117
Pb1H9C4Br3,2.834,184.061,0.058
Pb1H9C4Cl3,3.290,173.917,0.016
Pb1H9C4F3,3.937,222.819,-0.267
H6C1Ba1Br3N1,4.318,92.831,-0.460
H6C1Cl3Ba1N1,4.985,98.911,-0.542
H6C1F3Ba1N1,5.579,160.718,-0.973
I3H6C1Ba1N1,3.801,87.721,-0.338
Be1C1N1Br3H6,4.515,77.302,-0.182
Be1C1N1Cl3H6,5.321,67.936,-0.292
Be1C1N1F3H6,6.502,132.327,-0.852
I3Be1C1N1H6,3.818,101.660,-0.039
H6Ca1C1Br3N1,4.513,79.116,-0.431
H6Ca1Cl3C1N1,5.280,80.833,-0.520
H6Ca1F3C1N1,6.415,171.712,-0.979
I3H6Ca1C1N1,3.662,88.491,-0.300
H6C1N1Br3Cd1,1.501,103.332,-0.116
H6C1N1Cl3Cd1,2.424,104.421,-0.175
H6C1N1F3Cd1,3.431,159.120,-0.555
I3H6C1N1Cd1,0.509,114.408,-0.010
H6C1Co1Br3N1,2.173,24.701,-0.044
H6C1Cl3Co1N1,2.584,10.863,-0.125
H6C1F3Co1N1,2.931,167.289,-0.519
I3H6C1Co1N1,1.556,75.489,0.062
H6C1Br3Cu1N1,0.046,123.045,0.049
H6C1Cl3Cu1N1,0.007,113.805,-0.010
H6C1F3Cu1N1,0.532,255.823,-0.377
I3H6C1Cu1N1,0.126,173.707,0.152
H6C1Fe1Br3N1,2.313,33.668,-0.073
H6C1Cl3Fe1N1,3.256,24.144,-0.156
H6C1F3Fe1N1,3.206,183.187,-0.590
I3H6C1Fe1N1,1.047,57.618,0.044
H6Ge1C1Br3N1,1.908,66.829,-0.074
H6Ge1Cl3C1N1,2.340,56.572,-0.138
H6Ge1F3C1N1,4.469,89.585,-0.601
I3H6Ge1C1N1,1.561,82.300,0.020
H6Mg1Cl3C1N1,4.828,91.032,-0.375
H6Mg1Cl3C1N1,4.828,91.038,-0.375
H6Mg1F3C1N1,5.771,184.085,-0.867
I3H6Mg1C1N1,1.210,116.952,-0.126
H6C1Mn1Br3N1,2.191,50.578,-0.150
H6C1Mn1Cl3N1,3.101,43.451,-0.230
H6C1Mn1F3N1,3.613,172.253,-0.663
I3H6C1Mn1N1,0.816,67.493,-0.023
Ni1C1N1Br3H6,1.955,157.092,0.070
Ni1C1N1Cl3H6,2.489,138.925,-0.007
Ni1C1N1F3H6,4.139,217.144,-0.415
I3Ni1C1N1H6,1.269,191.856,0.178
H6C1Sn1Br3N1,1.464,73.135,-0.119
H6C1Cl3Sn1N1,2.013,69.800,-0.180
H6C1F3Sn1N1,3.562,126.862,-0.609
I3H6C1Sn1N1,,75.750,-0.024
Sr1C1N1Br3H6,4.446,80.720,-0.455
Sr1C1N1Cl3H6,5.190,81.513,-0.542
Sr1C1N1F3H6,6.235,163.032,-0.989
I3Sr1C1N1H6,3.875,78.952,-0.326
H6Zn1C1Br3N1,3.171,87.476,-0.137
H6Zn1Cl3C1N1,3.913,89.979,-0.204
H6Zn1F3C1N1,4.434,162.169,-0.581
I3H6Zn1C1N1,2.389,95.024,-0.036
Pb1H6C1I3N1,1.837,90.614,-0.055
Pb1H6C1I3N1,1.838,90.322,-0.055
Pb1H6C1Br3N1,2.252,78.409,-0.152
Pb1H6C1Cl3N1,2.730,77.340,-0.213
Pb1H6C1F3N1,3.756,145.675,-0.620
H10C3Ba1Br3N1,4.358,119.221,-0.250
H10C3Cl3Ba1N1,4.882,129.620,-0.298
H10C3F3Ba1N1,5.471,181.879,-0.574
I3H10C3Ba1N1,3.752,109.818,-0.174
Be1C3N1Br3H10,4.460,105.539,-0.067
Be1C3N1Cl3H10,5.178,98.344,-0.141
Be1C3N1F3H10,6.356,145.574,-0.511
I3Be1C3N1H10,3.900,120.217,0.026
H10Ca1C3Br3N1,3.892,145.004,-0.195
H10Ca1Cl3C3N1,4.499,139.648,-0.261
H10Ca1F3C3N1,5.217,206.072,-0.561
I3H10Ca1C3N1,3.271,136.717,-0.122
H10C3N1Br3Cd1,3.229,131.371,-0.015
H10C3N1Cl3Cd1,3.767,138.736,-0.048
H10C3N1F3Cd1,3.875,204.628,-0.272
I3H10C3N1Cd1,2.698,119.462,0.037
H10C3Co1Br3N1,2.207,89.551,0.044
H10C3Cl3Co1N1,2.541,85.124,-0.005
H10C3F3Co1N1,1.068,621.330,0.164
I3H10C3Co1N1,1.702,119.564,0.110
H10C3Br3Cu1N1,0.407,136.985,0.087
H10C3Cl3Cu1N1,0.533,133.463,0.051
H10C3F3Cu1N1,0.883,239.013,-0.183
I3H10C3Cu1N1,0.001,151.919,0.138
H10C3Fe1Br3N1,3.755,75.760,0.005
H10C3Cl3Fe1N1,4.140,70.135,-0.050
H10C3F3Fe1N1,3.719,188.589,-0.327
I3H10C3Fe1N1,3.034,84.641,0.075
H10Ge1C3Br3N1,3.006,100.225,0.006
H10Ge1Cl3C3N1,3.626,91.656,-0.038
H10Ge1F3C3N1,4.551,125.446,-0.335
I3H10Ge1C3N1,2.237,114.010,0.072
H10Mg1Cl3C3N1,4.648,145.894,-0.165
H10Mg1Cl3C3N1,4.648,145.894,-0.165
H10Mg1F3C3N1,5.346,217.374,-0.484
I3H10Mg1C3N1,3.347,133.237,-0.029
H10C3Mn1Br3N1,3.524,102.221,-0.032
H10C3Mn1Cl3N1,3.856,101.232,-0.081
H10C3Mn1F3N1,3.694,205.332,-0.352
I3H10C3Mn1N1,3.073,99.585,0.039
Ni1C3N1Br3H10,2.434,171.443,0.113
Ni1C3N1Cl3H10,2.944,162.770,0.065
Ni1C3N1F3H10,4.154,222.357,-0.199
I3Ni1C3N1H10,1.768,189.871,0.181
H10C3Sn1Br3N1,2.774,106.778,-0.021
H10C3Cl3Sn1N1,3.324,103.115,-0.064
H10C3F3Sn1N1,4.223,148.413,-0.342
I3H10C3Sn1N1,2.026,108.540,0.042
Sr1C3N1Br3H10,4.221,127.020,-0.230
Sr1C3N1Cl3H10,4.718,139.980,-0.276
Sr1C3N1F3H10,5.198,202.388,-0.566
I3Sr1C3N1H10,3.623,115.393,-0.155
H10Zn1C3Br3N1,3.793,120.670,-0.029
H10Zn1Cl3C3N1,4.424,124.774,-0.071
H10Zn1F3C3N1,4.726,176.998,-0.318
I3H10Zn1C3N1,3.229,119.912,0.033
Pb1I3C3H10N1,2.145,123.516,0.027
Pb1H10C3Br3N1,2.868,118.926,-0.035
Pb1H10C3N1Cl3,3.611,118.981,-0.075
Pb1H10C3N1F3,4.483,168.100,-0.342
H7C3Ba1Br3,1.332,224.591,-0.205
H7C3Ba1Cl3,1.753,225.849,-0.266
H7C3Ba1F3,4.610,310.933,-0.625
I3H7C3Ba1,0.902,242.981,-0.110
Be1C3Br3H7,1.691,209.510,0.032
Be1C3Cl3H7,2.192,195.865,-0.055
Be1C3F3H7,3.749,262.116,-0.519
I3Be1C3H7,1.082,238.617,0.146
H7Ca1C3Br3,1.681,236.647,-0.155
H7Ca1C3Cl3,4.022,172.901,-0.285
H7Ca1C3F3,5.660,239.865,-0.685
I3H7Ca1C3,1.116,258.796,-0.062
H7C3Br3Cd1,1.644,224.594,0.082
H7C3Cl3Cd1,2.167,219.915,0.042
H7C3F3Cd1,2.903,283.088,-0.268
I3H7C3Cd1,2.046,194.862,0.100
H7C3Co1Br3,1.514,184.995,0.171
H7C3Co1Cl3,1.395,148.539,0.090
H7C3Co1F3,1.782,318.457,-0.209
I3H7C3Co1,1.115,249.121,0.249
H7C3Br3Cu1,0.008,248.615,0.230
H7C3Cu1Cl3,0.424,237.718,0.189
H7C3Cu1F3,0.617,299.177,-0.129
I3H7C3Cu1,0.003,238.750,0.233
H7C3Fe1Br3,1.492,159.261,0.113
H7C3Fe1Cl3,1.535,174.330,0.063
H7C3Fe1F3,3.590,282.088,-0.319
I3H7C3Fe1,1.040,209.449,0.209
H7Ge1C3Br3,0.685,232.774,0.129
H7Ge1C3Cl3,0.723,233.528,0.076
H7Ge1C3F3,0.912,252.013,-0.302
I3H7Ge1C3,0.652,245.427,0.204
H7Mg1C3Cl3,2.029,221.866,-0.121
H7Mg1C3Cl3,2.029,221.867,-0.121
H7Mg1C3F3,4.155,296.299,-0.544
I3H7Mg1C3,1.316,249.889,0.054
H7C3Mn1Br3,1.363,180.934,0.054
H7C3Mn1Cl3,1.514,170.377,-0.006
H7C3Mn1F3,3.615,284.213,-0.371
I3H7C3Mn1,0.972,206.288,0.141
Ni1C3Br3H7,1.674,292.770,0.263
Ni1C3Cl3H7,2.057,273.559,0.205
Ni1C3F3H7,3.485,307.277,-0.164
I3Ni1C3H7,1.128,343.322,0.343
H7C3Sn1Br3,0.358,228.600,0.093
H7C3Sn1Cl3,0.507,227.006,0.045
H7C3Sn1F3,0.659,294.759,-0.306
I3H7C3Sn1,0.002,240.426,0.167
Sr1C3Br3H7,1.498,224.136,-0.190
Sr1C3Cl3H7,1.952,225.469,-0.252
Sr1C3F3H7,5.362,230.023,-0.696
I3Sr1C3H7,0.994,242.927,-0.092
H7Zn1C3Br3,1.744,226.182,0.079
H7Zn1C3Cl3,2.007,220.834,0.032
H7Zn1C3F3,3.487,272.345,-0.304
I3H7Zn1C3,1.145,253.332,0.153
Pb1I3C3H7,0.960,255.524,0.143
Pb1H7C3Br3,1.076,221.425,0.069
Pb1H7C3Cl3,1.221,215.296,0.023
Pb1H7C3F3,1.361,288.491,-0.306
H8C2Ba1Br3N1,4.414,133.794,-0.309
H8C2Cl3Ba1N1,5.030,146.071,-0.367
H8C2F3Ba1N1,5.298,211.274,-0.696
I3H8C2Ba1N1,3.883,125.898,-0.215
Be1C2N1Br3H8,4.438,119.158,-0.088
Be1C2N1Cl3H8,5.163,111.818,-0.176
Be1C2N1F3H8,6.291,174.121,-0.613
I3Be1C2N1H8,3.836,134.977,0.022
H8Ca1C2Br3N1,4.323,141.320,-0.267
H8Ca1Cl3C2N1,4.836,134.399,-0.346
H8Ca1F3C2N1,5.492,204.872,-0.715
I3H8Ca1C2N1,3.635,138.594,-0.172
H8C2N1Br3Cd1,1.160,143.307,-0.032
H8C2N1Cl3Cd1,2.014,147.995,-0.076
H8C2N1F3Cd1,3.413,197.096,-0.375
I3H8C2N1Cd1,0.635,136.926,0.037
H8C2Co1Br3N1,2.102,99.135,0.044
H8C2Cl3Co1N1,2.394,94.620,-0.014
H8C2F3Co1N1,2.912,224.921,-0.324
I3H8C2Co1N1,1.448,134.952,0.124
H8C2Br3Cu1N1,0.352,159.483,0.100
H8C2Cl3Cu1N1,0.493,154.635,0.055
H8C2F3Cu1N1,0.314,270.528,-0.235
I3H8C2Cu1N1,0.171,168.088,0.151
H8C2Fe1Br3N1,3.549,82.804,-0.003
H8C2Cl3Fe1N1,3.974,80.148,-0.064
H8C2F3Fe1N1,4.127,367.194,-0.251
I3H8C2Fe1N1,2.385,96.917,0.086
H8Ge1C2Br3N1,2.623,112.491,0.000
H8Ge1Cl3C2N1,3.316,99.348,-0.057
H8Ge1F3C2N1,4.100,137.434,-0.415
I3H8Ge1C2N1,2.003,124.604,0.075
H8Mg1Cl3C2N1,4.258,144.982,-0.228
H8Mg1Cl3C2N1,4.258,144.982,-0.228
H8Mg1F3C2N1,4.965,230.083,-0.611
I3H8Mg1C2N1,1.406,143.303,-0.051
H8C2Mn1Br3N1,2.344,104.116,-0.056
H8C2Mn1Cl3N1,3.513,96.341,-0.122
H8C2Mn1F3N1,2.885,207.878,-0.461
I3H8C2Mn1N1,1.040,103.592,0.031
Ni1C2N1Br3H8,1.775,234.070,0.164
Ni1C2N1Cl3H8,2.843,186.374,0.069
Ni1C2N1F3H8,3.978,239.724,-0.266
I3Ni1C2N1H8,1.461,219.197,0.208
H8C2Sn1Br3N1,2.173,121.124,-0.032
H8C2Cl3Sn1N1,2.784,117.138,-0.083
H8C2F3Sn1N1,3.754,160.222,-0.429
I3H8C2Sn1N1,1.541,121.881,0.042
Sr1C2N1Br3H8,4.432,133.703,-0.295
Sr1C2N1Cl3H8,5.145,141.563,-0.357
Sr1C2N1F3H8,5.419,206.995,-0.715
I3Sr1C2N1H8,3.868,124.579,-0.199
H8Zn1C2Br3N1,3.588,136.793,-0.043
H8Zn1Cl3C2N1,4.327,141.018,-0.094
H8Zn1F3C2N1,4.464,198.264,-0.396
I3H8Zn1C2N1,2.938,135.517,0.031
Pb1I3C2H8N1,1.890,136.085,0.020
Pb1H8C2Br3N1,2.469,126.302,-0.058
Pb1H8C2N1Cl3,2.933,128.084,-0.105
Pb1H8C2N1F3,3.407,187.944,-0.424
H9C4Ba1Br3,1.900,191.913,-0.162
H9C4Ba1Cl3,2.342,195.783,-0.210
H9C4Ba1F3,4.112,277.740,-0.493
I3H9C4Ba1,1.332,206.002,-0.085
Be1C4Br3H9,1.360,180.973,0.035
Be1C4Cl3H9,1.809,168.886,-0.038
Be1C4F3H9,3.245,215.212,-0.428
I3Be1C4H9,0.917,204.689,0.128
H9Ca1C4Br3,1.820,208.474,-0.114
H9Ca1C4Cl3,2.252,207.620,-0.170
H9Ca1C4F3,3.124,269.172,-0.492
I3H9Ca1C4,1.386,228.343,-0.036
H9C4Br3Cd1,1.560,207.527,0.090
H9C4Cl3Cd1,2.031,202.394,0.056
H9C4F3Cd1,3.100,254.137,-0.200
I3H9C4Cd1,1.054,219.138,0.141
H9C4Co1Br3,1.415,162.893,0.151
H9C4Co1Cl3,1.505,151.076,0.103
H9C4Co1F3,1.238,242.128,-0.192
I3H9C4Co1,0.989,217.733,0.218
H9C4Br3Cu1,0.408,212.558,0.197
H9C4Cu1Cl3,0.531,201.123,0.161
H9C4Cu1F3,0.002,255.471,-0.097
I3H9C4Cu1,0.003,250.586,0.245
H9C4Fe1Br3,1.603,147.902,0.110
H9C4Fe1Cl3,1.561,149.027,0.058
H9C4Fe1F3,0.615,306.168,-0.189
I3H9C4Fe1,1.063,181.821,0.182
H9Ge1C4Br3,1.010,196.451,0.111
H9Ge1C4Cl3,1.062,196.409,0.066
H9Ge1C4F3,1.298,212.719,-0.243
I3H9Ge1C4,0.937,209.140,0.175
H9Mg1C4Cl3,2.037,215.945,-0.066
H9Mg1C4Cl3,2.037,215.945,-0.066
H9Mg1C4F3,2.973,263.538,-0.428
I3H9Mg1C4,1.104,232.619,0.071
H9C4Mn1Br3,1.420,175.958,0.071
H9C4Mn1Cl3,1.589,167.980,0.022
H9C4Mn1F3,1.653,256.993,-0.282
I3H9C4Mn1,1.042,196.293,0.142
Ni1C4Br3H9,1.653,248.789,0.224
Ni1C4Cl3H9,2.047,231.641,0.175
Ni1C4F3H9,0.004,,
I3Ni1C4H9,1.129,292.210,0.292
H9C4Sn1Br3,0.836,194.406,0.083
H9C4Sn1Cl3,0.966,191.701,0.041
H9C4Sn1F3,1.210,232.922,-0.262
I3H9C4Sn1,0.686,205.294,0.144
Sr1C4Br3H9,2.019,201.924,-0.139
Sr1C4Cl3H9,2.428,202.798,-0.190
Sr1C4F3H9,4.011,280.406,-0.483
I3Sr1C4H9,1.464,212.561,-0.063
H9Zn1C4Br3,1.559,197.190,0.076
H9Zn1C4Cl3,1.951,188.264,0.032
H9Zn1C4F3,2.789,256.283,-0.218
I3H9Zn1C4,1.017,219.206,0.137
Pb1I3C4H9,1.225,219.560,0.127
Pb1H9C4Br3,1.419,191.687,0.066
Pb1H9C4Cl3,1.588,185.369,0.027
Pb1H9C4F3,1.833,234.424,-0.255
H10C3Ba1Br3N1,4.529,163.553,-0.205
H10C3Cl3Ba1N1,5.105,176.765,-0.251
H10C3F3Ba1N1,5.515,264.868,-0.491
I3H10C3Ba1N1,3.941,151.161,-0.133
Be1C3N1Br3H10,4.445,148.956,-0.024
Be1C3N1Cl3H10,5.028,145.593,-0.094
Be1C3N1F3H10,5.827,210.970,-0.445
I3Be1C3N1H10,3.899,159.299,0.065
H10Ca1C3Br3N1,4.109,184.681,-0.155
H10Ca1Cl3C3N1,4.798,191.176,-0.210
H10Ca1F3C3N1,5.521,276.085,-0.491
I3H10Ca1C3N1,3.384,178.292,-0.080
H10C3N1Br3Cd1,3.180,173.509,0.027
H10C3N1Cl3Cd1,3.742,182.466,-0.004
H10C3N1F3Cd1,3.967,268.440,-0.208
I3H10C3N1Cd1,2.610,160.785,0.078
H10C3Co1Br3N1,2.265,131.503,0.086
H10C3Cl3Co1N1,2.615,129.129,0.039
H10C3F3Co1N1,3.137,251.981,-0.206
I3H10C3Co1N1,1.706,159.727,0.150
H10C3Br3Cu1N1,0.366,179.391,0.130
H10C3Cl3Cu1N1,0.509,176.583,0.094
H10C3F3Cu1N1,0.810,306.839,-0.115
I3H10C3Cu1N1,0.002,191.370,0.177
H10C3Fe1Br3N1,3.856,115.956,0.045
H10C3Cl3Fe1N1,4.147,115.741,-0.004
H10C3F3Fe1N1,3.535,254.299,-0.261
I3H10C3Fe1N1,3.032,124.937,0.116
H10Ge1C3Br3N1,3.034,142.523,0.049
H10Ge1Cl3C3N1,3.701,135.531,0.006
H10Ge1F3C3N1,4.439,168.385,-0.292
I3H10Ge1C3N1,2.210,154.139,0.112
H10Mg1Cl3C3N1,4.691,189.701,-0.121
H10Mg1Cl3C3N1,4.691,189.701,-0.121
H10Mg1F3C3N1,5.462,288.377,-0.413
I3H10Mg1C3N1,3.239,173.763,0.012
H10C3Mn1Br3N1,3.528,143.938,0.010
H10C3Mn1Cl3N1,3.888,145.172,-0.037
H10C3Mn1F3N1,3.585,272.275,-0.285
I3H10C3Mn1N1,3.077,138.887,0.079
Ni1C3N1Br3H10,2.458,212.572,0.154
Ni1C3N1Cl3H10,3.049,205.564,0.108
Ni1C3N1F3H10,4.358,288.501,-0.133
I3Ni1C3N1H10,1.721,229.761,0.220
H10C3Sn1Br3N1,2.802,149.926,0.022
H10C3Cl3Sn1N1,3.403,149.255,-0.017
H10C3F3Sn1N1,4.075,198.912,-0.292
I3H10C3Sn1N1,2.068,149.990,0.083
Sr1C3N1Br3H10,4.313,173.556,-0.183
Sr1C3N1Cl3H10,4.972,186.567,-0.229
Sr1C3N1F3H10,5.392,280.395,-0.488
I3Sr1C3N1H10,3.744,157.728,-0.112
H10Zn1C3Br3N1,3.811,162.816,0.013
H10Zn1Cl3C3N1,4.486,167.474,-0.029
H10Zn1F3C3N1,4.657,244.894,-0.251
I3H10Zn1C3N1,3.143,161.257,0.074
Pb1I3C3H10N1,2.331,163.013,0.066
Pb1H10C3Br3N1,3.004,160.914,0.007
Pb1H10C3N1Cl3,3.565,164.489,-0.029
Pb1H10C3N1F3,4.577,234.763,-0.275
Cs1Ba1Br3,4.154,60.065,-1.816
Cs1Ba1Cl3,4.762,58.907,-2.010
Cs1Ba1F3,5.322,99.223,-3.023
Cs1I3Ba1,3.620,55.387,-1.516
Cs1Be1Br3,4.430,0.000,-1.175
Cs1Be1Cl3,5.311,0.000,-1.447
Cs1Be1F3,6.633,128.953,-2.769
Cs1Be1I3,3.186,29.139,-0.812
Cs1Ca1Br3,4.534,17.052,-1.782
Cs1Ca1Cl3,5.515,0.000,-2.018
Cs1Ca1F3,7.073,50.510,-3.162
Cs1I3Ca1,3.794,34.902,-1.457
Cs1Br3Cd1,1.026,69.271,-1.020
Cs1Cl3Cd1,1.993,37.459,-1.192
Cs1F3Cd1,3.518,91.245,-2.108
Cs1I3Cd1,0.540,93.651,-0.777
Cs1Co1Br3,2.176,0.000,-0.840
Cs1Co1Cl3,2.492,0.000,-1.024
Cs1Co1F3,,,
Cs1I3Co1,1.538,0.000,-0.589
Cs1Br3Cu1,0.010,111.217,-0.628
Cs1Cu1Cl3,0.127,106.708,-0.763
Cs1Cu1F3,,,
Cs1I3Cu1,0.123,162.022,-0.448
Cs1Fe1Br3,1.944,0.000,-0.933
Cs1Fe1Cl3,,,
Cs1Fe1F3,3.514,108.086,-2.211
Cs1I3Fe1,0.805,0.000,-0.633
Cs1Ge1Br3,,,
Cs1Ge1Cl3,1.846,32.607,-1.066
Cs1Ge1F3,,,
Cs1I3Ge1,1.305,34.247,-0.680
Cs1Mg1Br3,2.735,65.116,-1.409
Cs1Mg1Cl3,4.145,58.222,-1.652
Cs1Mg1F3,6.876,103.714,-2.870
Cs1I3Mg1,1.411,80.354,-1.070
Cs1Mn1Br3,1.836,0.000,-1.132
Cs1Mn1Cl3,2.747,0.000,-1.337
Cs1Mn1F3,3.601,70.813,-2.413
Cs1I3Mn1,0.920,0.000,-0.829
Cs1Ni1Br3,0.982,289.037,-0.452
Cs1Ni1Cl3,2.121,186.813,-0.750
Cs1Ni1F3,,,
Cs1Ni1I3,0.509,297.698,-0.285
Cs1Sn1Br3,1.228,27.842,-1.018
Cs1Sn1Cl3,,,
Cs1Sn1F3,2.132,127.904,-2.128
Cs1I3Sn1,1.101,40.206,-0.789
Cs1Sr1Br3,4.337,19.407,-1.816
Cs1Sr1Cl3,5.125,13.595,-2.034
Cs1Sr1F3,6.294,62.524,-3.104
Cs1Sr1I3,,,
Cs1Zn1Br3,0.821,90.624,-0.979
Cs1Zn1Cl3,1.874,126.392,-1.159
Cs1Zn1F3,3.857,113.030,-2.150
Cs1I3Zn1,0.229,138.138,-0.724
Cs1Pb1Br3,,,
Cs1Pb1Cl3,2.561,31.011,-1.244
Cs1Pb1F3,3.296,66.190,-2.211
Cs1Pb1I3,1.807,63.944,-0.854
K1Ba1Br3,3.878,109.776,-1.734
K1Ba1Cl3,4.457,131.260,-1.933
K1Ba1F3,4.900,182.282,-2.972
I3K1Ba1,3.464,104.275,-1.439
Be1K1Br3,4.063,43.136,-1.094
Be1K1Cl3,5.010,49.367,-1.339
Be1K1F3,7.449,145.121,-2.733
I3Be1K1,3.554,69.794,-0.744
K1Ca1Br3,4.138,67.379,-1.693
K1Ca1Cl3,4.897,60.202,-1.929
K1Ca1F3,6.274,79.434,-3.130
I3K1Ca1,3.597,94.824,-1.358
K1Br3Cd1,1.127,107.610,-0.934
K1Cl3Cd1,2.099,89.826,-1.114
K1F3Cd1,3.339,104.407,-2.094
I3K1Cd1,0.537,144.493,-0.675
K1Co1Br3,1.307,0.000,-0.714
K1Co1Cl3,1.682,0.000,-0.945
K1Co1F3,2.604,19.847,-2.094
I3K1Co1,1.420,57.641,-0.497
K1Br3Cu1,0.162,107.767,-0.586
K1Cu1Cl3,0.172,84.800,-0.751
K1Cu1F3,0.058,115.503,-1.729
I3K1Cu1,0.010,212.601,-0.359
K1Fe1Br3,2.017,0.000,-0.866
K1Fe1Cl3,3.061,0.000,-1.104
K1Fe1F3,3.029,36.694,-2.252
I3K1Fe1,0.862,11.520,-0.543
K1Ge1Br3,1.401,55.154,-0.821
K1Ge1Cl3,1.657,60.245,-0.980
K1Ge1F3,4.290,143.778,-2.072
I3K1Ge1,1.272,84.738,-0.586
K1Mg1Br3,2.902,78.131,-1.338
K1Mg1Cl3,4.416,37.417,-1.609
K1Mg1F3,7.136,56.167,-2.976
I3K1Mg1,1.496,131.899,-0.972
K1Mn1Br3,1.858,0.000,-1.053
K1Mn1Cl3,2.092,490.224,-0.710
K1Mn1F3,2.895,74.821,-2.433
I3K1Mn1,0.947,10.219,-0.728
Ni1K1Br3,0.896,338.910,-0.387
Ni1K1Cl3,1.463,271.618,-0.611
