HOIP entry ID,Khazana ID,Organic cation source,Label,Material class,Geometry class,Organic cation chemical formula,Number of atom types,Total number of atoms,Atom types,Number of each atom,"Bandgap, HSE06 (eV)","Bandgap, GGA (eV)",Kpoint for VBM,Kpoint for CBM,"Dielectric constant, electronic","Dielectric constant, ionic","Dielectric constant, total",Refractive index,Atomization energy (eV/atom),Relative energy1 (eV/atom),Relative energy2 (eV/atom),Volume of the unit cell (A^3),Density (g/cm^3),Tool,Pseudopotential,Note,Created by
0001,1851,"B.Saparov et al., Chem. Rev. 116, 4558 (2016)",Ethylammonium Germanium Fluoride,Hybrid organic-inorganic perovskite ( MC_ino ),Bulk crystalline materials ( GC_cry ),CH3CH2NH3,5,15,C H N  Ge F,2 8 1  1 3,5.9448,4.7308,"0.5, 0.5, 0.5","0.5, 0.5, 0.5",2.7968,2.6005,5.3973,1.6724,-4.7512,-0.2279,0.3767,113.76,2.5647,VASP,PAW,"ENCUT=400eV, k-spacing_relax=0.20/Angstrom, k-spacing_bandgap=0.15/Angstrom","C.Kim, T.D.Huan, S.Krishnan, R. Ramprasad"
0002,1852,"B.Saparov et al., Chem. Rev. 116, 4558 (2016)",Ethylammonium Germanium Fluoride,Hybrid organic-inorganic perovskite ( MC_ino ),Bulk crystalline materials ( GC_cry ),CH3CH2NH3,5,15,C H N  Ge F,2 8 1  1 3,5.3704,4.1048,"0.5, 0.5, 0.5","0.5, 0.5, 0.5",2.8753,2.7377,5.613,1.6957,-4.7495,-0.2262,0.3784,113.87,2.5622,VASP,PAW,"ENCUT=400eV, k-spacing_relax=0.20/Angstrom, k-spacing_bandgap=0.15/Angstrom","C.Kim, T.D.Huan, S.Krishnan, R. Ramprasad"
0003,1853,"B.Saparov et al., Chem. Rev. 116, 4558 (2016)",Ethylammonium Germanium Fluoride,Hybrid organic-inorganic perovskite ( MC_ino ),Bulk crystalline materials ( GC_cry ),CH3CH2NH3,5,15,C H N  Ge F,2 8 1  1 3,5.8916,4.5915,"0.5, 0.5, 0.5","0, 0, 0.4",2.7387,3.3725,6.1112,1.6549,-4.7382,-0.2149,0.3897,118.14,2.4696,VASP,PAW,"ENCUT=400eV, k-spacing_relax=0.20/Angstrom, k-spacing_bandgap=0.15/Angstrom","C.Kim, T.D.Huan, S.Krishnan, R. Ramprasad"
0004,1854,"B.Saparov et al., Chem. Rev. 116, 4558 (2016)",Ethylammonium Germanium Fluoride,Hybrid organic-inorganic perovskite ( MC_ino ),Bulk crystalline materials ( GC_cry ),CH3CH2NH3,5,15,C H N  Ge F,2 8 1  1 3,5.9494,4.6666,"0.5, 0.5, 0.5","0.0556, 0, 0.3571",2.7315,2.5727,5.3041,1.6527,-4.7509,-0.2276,0.377,117.07,2.4922,VASP,PAW,"ENCUT=400eV, k-spacing_relax=0.20/Angstrom, k-spacing_bandgap=0.15/Angstrom","C.Kim, T.D.Huan, S.Krishnan, R. Ramprasad"
0005,1855,"B.Saparov et al., Chem. Rev. 116, 4558 (2016)",Ethylammonium Germanium Fluoride,Hybrid organic-inorganic perovskite ( MC_ino ),Bulk crystalline materials ( GC_cry ),CH3CH2NH3,5,15,C H N  Ge F,2 8 1  1 3,5.9595,4.6595,"0.0263, 0.5, 0.0263","-0.4167, 0.0909, 0.15",2.7502,2.2136,4.9637,1.6584,-4.7332,-0.2099,0.3947,116.03,2.5145,VASP,PAW,"ENCUT=400eV, k-spacing_relax=0.20/Angstrom, k-spacing_bandgap=0.15/Angstrom","C.Kim, T.D.Huan, S.Krishnan, R. Ramprasad"
0006,1856,"B.Saparov et al., Chem. Rev. 116, 4558 (2016)",Ethylammonium Germanium Fluoride,Hybrid organic-inorganic perovskite ( MC_ino ),Bulk crystalline materials ( GC_cry ),CH3CH2NH3,5,15,C H N  Ge F,2 8 1  1 3,5.9412,4.664,"0.5, 0.5, 0","0.0556, 0, 0.1",2.7323,3.1944,5.9267,1.653,-4.743,-0.2197,0.3849,117.1,2.4915,VASP,PAW,"ENCUT=400eV, k-spacing_relax=0.20/Angstrom, k-spacing_bandgap=0.15/Angstrom","C.Kim, T.D.Huan, S.Krishnan, R. Ramprasad"
0007,1857,"B.Saparov et al., Chem. Rev. 116, 4558 (2016)",Ethylammonium Germanium Fluoride,Hybrid organic-inorganic perovskite ( MC_ino ),Bulk crystalline materials ( GC_cry ),CH3CH2NH3,5,15,C H N  Ge F,2 8 1  1 3,5.9521,4.6879,"-0.3333, 0.375, 0","0.0556, 0, 0.5",2.765,3.0257,5.7907,1.6628,-4.7391,-0.2159,0.3887,115.37,2.5289,VASP,PAW,"ENCUT=400eV, k-spacing_relax=0.20/Angstrom, k-spacing_bandgap=0.15/Angstrom","C.Kim, T.D.Huan, S.Krishnan, R. Ramprasad"
0008,1858,"B.Saparov et al., Chem. Rev. 116, 4558 (2016)",Ethylammonium Germanium Fluoride,Hybrid organic-inorganic perovskite ( MC_ino ),Bulk crystalline materials ( GC_cry ),CH3CH2NH3,5,15,C H N  Ge F,2 8 1  1 3,5.744,4.5073,"0.5, 0.5, 0.5","0.1, 0, 0.5",2.7876,14.5954,17.383,1.6696,-4.7287,-0.2055,0.3991,116.33,2.508,VASP,PAW,"ENCUT=400eV, k-spacing_relax=0.20/Angstrom, k-spacing_bandgap=0.15/Angstrom","C.Kim, T.D.Huan, S.Krishnan, R. Ramprasad"
0009,1859,"B.Saparov et al., Chem. Rev. 116, 4558 (2016)",Ethylammonium Germanium Fluoride,Hybrid organic-inorganic perovskite ( MC_ino ),Bulk crystalline materials ( GC_cry ),CH3CH2NH3,5,15,C H N  Ge F,2 8 1  1 3,5.7012,4.4324,"0, 0.5, 0","0, 0, 0.5",2.631,2.3088,4.9398,1.622,-4.7298,-0.2065,0.3981,120.86,2.414,VASP,PAW,"ENCUT=400eV, k-spacing_relax=0.20/Angstrom, k-spacing_bandgap=0.15/Angstrom","C.Kim, T.D.Huan, S.Krishnan, R. Ramprasad"
0010,1860,"S.Kataoka et al., J. Am. Chem. Soc. 137, 4158 (2015)",Propylammonium Germanium Fluoride,Hybrid organic-inorganic perovskite ( MC_ino ),Bulk crystalline materials ( GC_cry ),CH3CH2CH2NH3,5,18,C H N  Ge F,3 10 1  1 3,5.7402,4.5505,"0.5, 0.5, 0","0.0556, 0, 0.5",2.622,3.1627,5.7847,1.6193,-4.8101,-0.2489,0.2549,146.04,2.1573,VASP,PAW,"ENCUT=400eV, k-spacing_relax=0.20/Angstrom, k-spacing_bandgap=0.15/Angstrom","C.Kim, T.D.Huan, S.Krishnan, R. Ramprasad"
0011,1861,"S.Kataoka et al., J. Am. Chem. Soc. 137, 4158 (2015)",Propylammonium Germanium Fluoride,Hybrid organic-inorganic perovskite ( MC_ino ),Bulk crystalline materials ( GC_cry ),CH3CH2CH2NH3,5,18,C H N  Ge F,3 10 1  1 3,5.5243,4.3129,"0.5, 0.5, 0.0263","0.2778, 0.25, 0.5",2.6918,2.1855,4.8773,1.6407,-4.8029,-0.2417,0.2621,141.82,2.2215,VASP,PAW,"ENCUT=400eV, k-spacing_relax=0.20/Angstrom, k-spacing_bandgap=0.15/Angstrom","C.Kim, T.D.Huan, S.Krishnan, R. Ramprasad"
0012,1862,"S.Kataoka et al., J. Am. Chem. Soc. 137, 4158 (2015)",Propylammonium Germanium Fluoride,Hybrid organic-inorganic perovskite ( MC_ino ),Bulk crystalline materials ( GC_cry ),CH3CH2CH2NH3,5,18,C H N  Ge F,3 10 1  1 3,5.9081,4.6503,"0.5, 0.5, 0.5","0.5, 0.5, 0.5",2.6487,1.8851,4.5338,1.6275,-4.8108,-0.2497,0.2541,142.12,2.2168,VASP,PAW,"ENCUT=400eV, k-spacing_relax=0.20/Angstrom, k-spacing_bandgap=0.15/Angstrom","C.Kim, T.D.Huan, S.Krishnan, R. Ramprasad"
0013,1863,"S.Kataoka et al., J. Am. Chem. Soc. 137, 4158 (2015)",Propylammonium Germanium Fluoride,Hybrid organic-inorganic perovskite ( MC_ino ),Bulk crystalline materials ( GC_cry ),CH3CH2CH2NH3,5,18,C H N  Ge F,3 10 1  1 3,5.9717,4.7166,"0.5, 0.5, 0.5","0.5, 0, 0",2.719,1.7765,4.4955,1.6489,-4.8095,-0.2483,0.2555,137.45,2.2921,VASP,PAW,"ENCUT=400eV, k-spacing_relax=0.20/Angstrom, k-spacing_bandgap=0.15/Angstrom","C.Kim, T.D.Huan, S.Krishnan, R. Ramprasad"
0014,1864,"S.Kataoka et al., J. Am. Chem. Soc. 137, 4158 (2015)",Propylammonium Germanium Fluoride,Hybrid organic-inorganic perovskite ( MC_ino ),Bulk crystalline materials ( GC_cry ),CH3CH2CH2NH3,5,18,C H N  Ge F,3 10 1  1 3,5.7297,4.4955,"0.5, 0.5, 0.5","0.5, 0.5, 0",2.7217,3.7618,6.4835,1.6498,-4.7931,-0.2319,0.2719,138.69,2.2716,VASP,PAW,"ENCUT=400eV, k-spacing_relax=0.20/Angstrom, k-spacing_bandgap=0.15/Angstrom","C.Kim, T.D.Huan, S.Krishnan, R. Ramprasad"
0015,1865,"S.Kataoka et al., J. Am. Chem. Soc. 137, 4158 (2015)",Propylammonium Germanium Fluoride,Hybrid organic-inorganic perovskite ( MC_ino ),Bulk crystalline materials ( GC_cry ),CH3CH2CH2NH3,5,18,C H N  Ge F,3 10 1  1 3,6.0431,4.7344,"0.5, 0.5, 0","0.5, 0, 0.5",2.7489,1.919,4.668,1.658,-4.7921,-0.231,0.2728,135.7,2.3217,VASP,PAW,"ENCUT=400eV, k-spacing_relax=0.20/Angstrom, k-spacing_bandgap=0.15/Angstrom","C.Kim, T.D.Huan, S.Krishnan, R. Ramprasad"
0016,1866,"S.Kataoka et al., J. Am. Chem. Soc. 137, 4158 (2015)",Propylammonium Germanium Fluoride,Hybrid organic-inorganic perovskite ( MC_ino ),Bulk crystalline materials ( GC_cry ),CH3CH2CH2NH3,5,18,C H N  Ge F,3 10 1  1 3,5.8154,4.5322,"0.5, 0.5, 0.5","0, 0, 0.0833",2.7295,2.2047,4.9341,1.6521,-4.8058,-0.2447,0.2592,136.51,2.3079,VASP,PAW,"ENCUT=400eV, k-spacing_relax=0.20/Angstrom, k-spacing_bandgap=0.15/Angstrom","C.Kim, T.D.Huan, S.Krishnan, R. Ramprasad"
0017,1867,"S.Kataoka et al., J. Am. Chem. Soc. 137, 4158 (2015)",Propylammonium Germanium Fluoride,Hybrid organic-inorganic perovskite ( MC_ino ),Bulk crystalline materials ( GC_cry ),CH3CH2CH2NH3,5,18,C H N  Ge F,3 10 1  1 3,5.694,4.4157,"0.5, 0.5, 0.5","-0.3125, 0.3125, 0.1111",2.716,2.0339,4.7499,1.648,-4.7794,-0.2183,0.2855,139.89,2.2521,VASP,PAW,"ENCUT=400eV, k-spacing_relax=0.20/Angstrom, k-spacing_bandgap=0.15/Angstrom","C.Kim, T.D.Huan, S.Krishnan, R. Ramprasad"
0018,1868,"H. Hu et al., Sci. Rep. 6, 33546 (2016)",Butylammonium Germanium Fluoride,Hybrid organic-inorganic perovskite ( MC_ino ),Bulk crystalline materials ( GC_cry ),CH3CH2CH2CH2NH3,5,21,C H N  Ge F,4 12 1  1 3,6.0509,4.8367,"0.5, 0, 0.5","-0.25, 0.0625, 0.2222",2.6555,3.101,5.7565,1.6296,-4.8413,-0.2531,0.1787,164.43,2.0577,VASP,PAW,"ENCUT=400eV, k-spacing_relax=0.20/Angstrom, k-spacing_bandgap=0.15/Angstrom","C.Kim, T.D.Huan, S.Krishnan, R. Ramprasad"
0019,1869,"H. Hu et al., Sci. Rep. 6, 33546 (2016)",Butylammonium Germanium Fluoride,Hybrid organic-inorganic perovskite ( MC_ino ),Bulk crystalline materials ( GC_cry ),CH3CH2CH2CH2NH3,5,21,C H N  Ge F,4 12 1  1 3,5.9456,4.6939,"0.5, 0.5, 0.0263","0.0556, 0.5, 0.5",2.6088,2.0303,4.6391,1.6152,-4.8441,-0.2559,0.176,167.61,2.0187,VASP,PAW,"ENCUT=400eV, k-spacing_relax=0.20/Angstrom, k-spacing_bandgap=0.15/Angstrom","C.Kim, T.D.Huan, S.Krishnan, R. Ramprasad"
0020,1870,"H. Hu et al., Sci. Rep. 6, 33546 (2016)",Butylammonium Germanium Fluoride,Hybrid organic-inorganic perovskite ( MC_ino ),Bulk crystalline materials ( GC_cry ),CH3CH2CH2CH2NH3,5,21,C H N  Ge F,4 12 1  1 3,5.5517,4.3305,"0.0714, 0.5, 0.5","0, 0.5, 0",2.6574,1.7121,4.3696,1.6302,-4.8399,-0.2517,0.1802,162.04,2.088,VASP,PAW,"ENCUT=400eV, k-spacing_relax=0.20/Angstrom, k-spacing_bandgap=0.15/Angstrom","C.Kim, T.D.Huan, S.Krishnan, R. Ramprasad"
0021,1871,"H. Hu et al., Sci. Rep. 6, 33546 (2016)",Butylammonium Germanium Fluoride,Hybrid organic-inorganic perovskite ( MC_ino ),Bulk crystalline materials ( GC_cry ),CH3CH2CH2CH2NH3,5,21,C H N  Ge F,4 12 1  1 3,6.2182,4.9757,"0.5, 0.5, 0","0.5, 0.0714, 0",2.7196,2.1302,4.8498,1.6491,-4.8432,-0.255,0.1769,159.05,2.1273,VASP,PAW,"ENCUT=400eV, k-spacing_relax=0.20/Angstrom, k-spacing_bandgap=0.15/Angstrom","C.Kim, T.D.Huan, S.Krishnan, R. Ramprasad"
0022,1872,"C.C.Stoumpos et al., J. Am. Chem. Soc. 137, 6804 (2015)",Isopropylammonium Germanium Fluoride,Hybrid organic-inorganic perovskite ( MC_ino ),Bulk crystalline materials ( GC_cry ),(CH3)2CHNH3,5,18,C H N  Ge F,3 10 1  1 3,6.1891,4.9555,"0, 0.5, 0.5","0.4167, -0.3125, 0.4444",2.6863,1.8284,4.5147,1.639,-4.821,-0.2539,0.25,138.91,2.268,VASP,PAW,"ENCUT=400eV, k-spacing_relax=0.20/Angstrom, k-spacing_bandgap=0.15/Angstrom","C.Kim, T.D.Huan, S.Krishnan, R. Ramprasad"
0023,1873,"C.C.Stoumpos et al., J. Am. Chem. Soc. 137, 6804 (2015)",Isopropylammonium Germanium Fluoride,Hybrid organic-inorganic perovskite ( MC_ino ),Bulk crystalline materials ( GC_cry ),(CH3)2CHNH3,5,18,C H N  Ge F,3 10 1  1 3,5.9083,4.6744,"0.5, 0.5, 0.5","0.375, -0.375, 0.2143",2.7273,1.8008,4.5281,1.6515,-4.8081,-0.2409,0.2629,137.76,2.287,VASP,PAW,"ENCUT=400eV, k-spacing_relax=0.20/Angstrom, k-spacing_bandgap=0.15/Angstrom","C.Kim, T.D.Huan, S.Krishnan, R. Ramprasad"
0024,1874,"C.C.Stoumpos et al., J. Am. Chem. Soc. 137, 6804 (2015)",Isopropylammonium Germanium Fluoride,Hybrid organic-inorganic perovskite ( MC_ino ),Bulk crystalline materials ( GC_cry ),(CH3)2CHNH3,5,18,C H N  Ge F,3 10 1  1 3,6.3889,5.0755,"0.5, 0.5, 0.5","0.5, 0.5, 0.0789",2.707,2.9899,5.6969,1.6453,-4.8155,-0.2483,0.2555,138.78,2.2702,VASP,PAW,"ENCUT=400eV, k-spacing_relax=0.20/Angstrom, k-spacing_bandgap=0.15/Angstrom","C.Kim, T.D.Huan, S.Krishnan, R. Ramprasad"
0025,1875,"C.C.Stoumpos et al., J. Am. Chem. Soc. 137, 6804 (2015)",Isopropylammonium Germanium Fluoride,Hybrid organic-inorganic perovskite ( MC_ino ),Bulk crystalline materials ( GC_cry ),(CH3)2CHNH3,5,18,C H N  Ge F,3 10 1  1 3,6.2756,5.0006,"0.5, 0.5, 0.5","0.5, 0.5, 0.5",2.7344,3.5508,6.2852,1.6536,-4.817,-0.2499,0.2539,137.61,2.2895,VASP,PAW,"ENCUT=400eV, k-spacing_relax=0.20/Angstrom, k-spacing_bandgap=0.15/Angstrom","C.Kim, T.D.Huan, S.Krishnan, R. Ramprasad"
0026,1876,"C.C.Stoumpos et al., J. Am. Chem. Soc. 137, 6804 (2015)",Isopropylammonium Germanium Fluoride,Hybrid organic-inorganic perovskite ( MC_ino ),Bulk crystalline materials ( GC_cry ),(CH3)2CHNH3,5,18,C H N  Ge F,3 10 1  1 3,6.3458,5.0775,"0.5, 0.5, 0.5","0, 0, 0.4286",2.6278,2.3234,4.9512,1.621,-4.8027,-0.2355,0.2683,141.87,2.2207,VASP,PAW,"ENCUT=400eV, k-spacing_relax=0.20/Angstrom, k-spacing_bandgap=0.15/Angstrom","C.Kim, T.D.Huan, S.Krishnan, R. Ramprasad"
0027,1877,"C.C.Stoumpos et al., J. Am. Chem. Soc. 137, 6804 (2015)",Isopropylammonium Germanium Fluoride,Hybrid organic-inorganic perovskite ( MC_ino ),Bulk crystalline materials ( GC_cry ),(CH3)2CHNH3,5,18,C H N  Ge F,3 10 1  1 3,6.4165,5.1611,"0, 0.5, 0.5","0.5, 0.5, 0.5",2.7189,1.7644,4.4833,1.6489,-4.8181,-0.251,0.2528,136.44,2.3091,VASP,PAW,"ENCUT=400eV, k-spacing_relax=0.20/Angstrom, k-spacing_bandgap=0.15/Angstrom","C.Kim, T.D.Huan, S.Krishnan, R. Ramprasad"
0028,1878,"C.C.Stoumpos et al., J. Am. Chem. Soc. 137, 6804 (2015)",Isopropylammonium Germanium Fluoride,Hybrid organic-inorganic perovskite ( MC_ino ),Bulk crystalline materials ( GC_cry ),(CH3)2CHNH3,5,18,C H N  Ge F,3 10 1  1 3,6.1201,4.8186,"0.5, 0.5, 0","0.5, 0, 0",2.6817,2.0633,4.745,1.6376,-4.7983,-0.2312,0.2726,138.37,2.2769,VASP,PAW,"ENCUT=400eV, k-spacing_relax=0.20/Angstrom, k-spacing_bandgap=0.15/Angstrom","C.Kim, T.D.Huan, S.Krishnan, R. Ramprasad"
0029,1879,"C.C.Stoumpos et al., J. Am. Chem. Soc. 137, 6804 (2015)",Isopropylammonium Germanium Fluoride,Hybrid organic-inorganic perovskite ( MC_ino ),Bulk crystalline materials ( GC_cry ),(CH3)2CHNH3,5,18,C H N  Ge F,3 10 1  1 3,6.0552,4.7697,"0, 0.5, 0","0, 0, 0.4444",2.7351,2.1391,4.8742,1.6538,-4.7991,-0.2319,0.2719,135.01,2.3336,VASP,PAW,"ENCUT=400eV, k-spacing_relax=0.20/Angstrom, k-spacing_bandgap=0.15/Angstrom","C.Kim, T.D.Huan, S.Krishnan, R. Ramprasad"
0030,1880,"C.C.Stoumpos et al., J. Am. Chem. Soc. 137, 6804 (2015)",Isopropylammonium Germanium Fluoride,Hybrid organic-inorganic perovskite ( MC_ino ),Bulk crystalline materials ( GC_cry ),(CH3)2CHNH3,5,18,C H N  Ge F,3 10 1  1 3,6.4261,5.1078,"0.5, 0.5, 0.5","0.0714, 0.5, 0.5",2.6942,2.6649,5.3591,1.6414,-4.8164,-0.2493,0.2545,138.98,2.2669,VASP,PAW,"ENCUT=400eV, k-spacing_relax=0.20/Angstrom, k-spacing_bandgap=0.15/Angstrom","C.Kim, T.D.Huan, S.Krishnan, R. Ramprasad"
0031,1881,"B.Saparov et al., Chem. Rev. 116, 4558 (2016)",Dimethylammonium Germanium Fluoride,Hybrid organic-inorganic perovskite ( MC_ino ),Bulk crystalline materials ( GC_cry ),(CH3)2NH2,5,15,C H N  Ge F,2 8 1  1 3,5.597,4.3753,"0.5, 0.5, 0.5","-0.4286, -0.4375, 0.4444",2.7629,2.382,5.1449,1.6622,-4.7289,-0.2278,0.3768,116.82,2.4975,VASP,PAW,"ENCUT=400eV, k-spacing_relax=0.20/Angstrom, k-spacing_bandgap=0.15/Angstrom","C.Kim, T.D.Huan, S.Krishnan, R. Ramprasad"
0032,1882,"B.Saparov et al., Chem. Rev. 116, 4558 (2016)",Dimethylammonium Germanium Fluoride,Hybrid organic-inorganic perovskite ( MC_ino ),Bulk crystalline materials ( GC_cry ),(CH3)2NH2,5,15,C H N  Ge F,2 8 1  1 3,5.5879,4.3686,"0.5, 0.5, 0.5","0.5, 0.375, 0.3889",2.7319,2.1916,4.9235,1.6529,-4.7289,-0.2278,0.3768,117.06,2.4924,VASP,PAW,"ENCUT=400eV, k-spacing_relax=0.20/Angstrom, k-spacing_bandgap=0.15/Angstrom","C.Kim, T.D.Huan, S.Krishnan, R. Ramprasad"
0033,1883,"B.Saparov et al., Chem. Rev. 116, 4558 (2016)",Dimethylammonium Germanium Fluoride,Hybrid organic-inorganic perovskite ( MC_ino ),Bulk crystalline materials ( GC_cry ),(CH3)2NH2,5,15,C H N  Ge F,2 8 1  1 3,5.7899,4.5794,"0.5, 0.5, 0.5","-0.4375, -0.4444, 0.4375",2.7161,1.9244,4.6405,1.6481,-4.7348,-0.2337,0.3709,117.62,2.4805,VASP,PAW,"ENCUT=400eV, k-spacing_relax=0.20/Angstrom, k-spacing_bandgap=0.15/Angstrom","C.Kim, T.D.Huan, S.Krishnan, R. Ramprasad"
0034,1884,"B.Saparov et al., Chem. Rev. 116, 4558 (2016)",Dimethylammonium Germanium Fluoride,Hybrid organic-inorganic perovskite ( MC_ino ),Bulk crystalline materials ( GC_cry ),(CH3)2NH2,5,15,C H N  Ge F,2 8 1  1 3,5.8405,4.5654,"0.5, 0.5, 0.0526","0.0625, 0, 0.4167",2.6995,2.9898,5.6892,1.643,-4.7111,-0.21,0.3946,118.39,2.4644,VASP,PAW,"ENCUT=400eV, k-spacing_relax=0.20/Angstrom, k-spacing_bandgap=0.15/Angstrom","C.Kim, T.D.Huan, S.Krishnan, R. Ramprasad"
0035,1885,"B.Saparov et al., Chem. Rev. 116, 4558 (2016)",Dimethylammonium Germanium Fluoride,Hybrid organic-inorganic perovskite ( MC_ino ),Bulk crystalline materials ( GC_cry ),(CH3)2NH2,5,15,C H N  Ge F,2 8 1  1 3,5.9342,4.6568,"0.5, 0.5, 0.4474","-0.4375, 0, 0.25",2.6849,2.3436,5.0285,1.6386,-4.717,-0.2159,0.3887,119.02,2.4514,VASP,PAW,"ENCUT=400eV, k-spacing_relax=0.20/Angstrom, k-spacing_bandgap=0.15/Angstrom","C.Kim, T.D.Huan, S.Krishnan, R. Ramprasad"
0036,1886,"C.C.Stoumpos et al., J. Am. Chem. Soc. 137, 6804 (2015)",Acetamidinium Germanium Fluoride,Hybrid organic-inorganic perovskite ( MC_ino ),Bulk crystalline materials ( GC_cry ),CH3C(NH2)2,5,15,C H N  Ge F,2 7 2  1 3,5.2481,3.9198,"0.5, 0.5, 0.5","0.5, 0.5, 0.5",2.8276,2.1256,4.9531,1.6815,-5.0401,-0.1129,0.4917,122.86,2.5504,VASP,PAW,"ENCUT=400eV, k-spacing_relax=0.20/Angstrom, k-spacing_bandgap=0.15/Angstrom","C.Kim, T.D.Huan, S.Krishnan, R. Ramprasad"
0037,1887,"C.C.Stoumpos et al., J. Am. Chem. Soc. 137, 6804 (2015)",Acetamidinium Germanium Fluoride,Hybrid organic-inorganic perovskite ( MC_ino ),Bulk crystalline materials ( GC_cry ),CH3C(NH2)2,5,15,C H N  Ge F,2 7 2  1 3,5.4822,4.1616,"0.5, 0.5, 0.5","0.5, 0.5, 0",2.8234,2.2606,5.084,1.6803,-5.0401,-0.1129,0.4917,123.2,2.5434,VASP,PAW,"ENCUT=400eV, k-spacing_relax=0.20/Angstrom, k-spacing_bandgap=0.15/Angstrom","C.Kim, T.D.Huan, S.Krishnan, R. Ramprasad"
0038,1888,"C.C.Stoumpos et al., J. Am. Chem. Soc. 137, 6804 (2015)",Acetamidinium Germanium Fluoride,Hybrid organic-inorganic perovskite ( MC_ino ),Bulk crystalline materials ( GC_cry ),CH3C(NH2)2,5,15,C H N  Ge F,2 7 2  1 3,5.8648,4.488,"0.5, 0.0714, 0.5","-0.375, 0.2143, 0.5",2.8381,2.392,5.2302,1.6847,-5.0422,-0.115,0.4896,122.84,2.5508,VASP,PAW,"ENCUT=400eV, k-spacing_relax=0.20/Angstrom, k-spacing_bandgap=0.15/Angstrom","C.Kim, T.D.Huan, S.Krishnan, R. Ramprasad"
0039,1889,"C.C.Stoumpos et al., J. Am. Chem. Soc. 137, 6804 (2015)",Acetamidinium Germanium Fluoride,Hybrid organic-inorganic perovskite ( MC_ino ),Bulk crystalline materials ( GC_cry ),CH3C(NH2)2,5,15,C H N  Ge F,2 7 2  1 3,5.2585,3.9446,"0.5, 0.5, 0.5","0.5, 0, 0.5",2.8493,2.8448,5.6941,1.688,-5.0382,-0.111,0.4936,122.86,2.5504,VASP,PAW,"ENCUT=400eV, k-spacing_relax=0.20/Angstrom, k-spacing_bandgap=0.15/Angstrom","C.Kim, T.D.Huan, S.Krishnan, R. Ramprasad"
0040,1890,"C.C.Stoumpos et al., J. Am. Chem. Soc. 137, 6804 (2015)",Acetamidinium Germanium Fluoride,Hybrid organic-inorganic perovskite ( MC_ino ),Bulk crystalline materials ( GC_cry ),CH3C(NH2)2,5,15,C H N  Ge F,2 7 2  1 3,5.1558,3.8297,"0.5, 0.5, 0.0263","0.5, 0, 0.5",2.8573,2.992,5.8493,1.6904,-5.0389,-0.1117,0.4929,123.1,2.5455,VASP,PAW,"ENCUT=400eV, k-spacing_relax=0.20/Angstrom, k-spacing_bandgap=0.15/Angstrom","C.Kim, T.D.Huan, S.Krishnan, R. Ramprasad"
0041,1891,"C.C.Stoumpos et al., J. Am. Chem. Soc. 137, 6804 (2015)",Acetamidinium Germanium Fluoride,Hybrid organic-inorganic perovskite ( MC_ino ),Bulk crystalline materials ( GC_cry ),CH3C(NH2)2,5,15,C H N  Ge F,2 7 2  1 3,5.1528,3.8145,"0.5, 0.5, 0","-0.4, 0, 0.4375",2.7911,2.5442,5.3353,1.6707,-5.031,-0.1038,0.5008,124.35,2.5199,VASP,PAW,"ENCUT=400eV, k-spacing_relax=0.20/Angstrom, k-spacing_bandgap=0.15/Angstrom","C.Kim, T.D.Huan, S.Krishnan, R. Ramprasad"
0042,1892,"T.D.Huan et al., Phys. Rev. B 93,094105(2016)",Methylammonium Germanium Fluoride,Hybrid organic-inorganic perovskite ( MC_ino ),Bulk crystalline materials ( GC_cry ),CH3NH3,5,12,C H N  Ge F,1 6 1  1 3,4.9297,3.7372,"0.5, 0.5, 0.5","0.5, 0.5, 0.5",2.9119,4.1736,7.0856,1.7064,-4.6718,-0.2127,0.543,95.44,2.8129,VASP,PAW,"ENCUT=400eV, k-spacing_relax=0.20/Angstrom, k-spacing_bandgap=0.15/Angstrom","C.Kim, T.D.Huan, S.Krishnan, R. Ramprasad"
0043,1893,"T.D.Huan et al., Phys. Rev. B 93,094105(2016)",Methylammonium Germanium Fluoride,Hybrid organic-inorganic perovskite ( MC_ino ),Bulk crystalline materials ( GC_cry ),CH3NH3,5,12,C H N  Ge F,1 6 1  1 3,4.7182,3.5371,"0.5, 0.5, 0.5","0.5, 0.5, 0.5",2.8931,5.4315,8.3245,1.7009,-4.6716,-0.2125,0.5432,95.52,2.8106,VASP,PAW,"ENCUT=400eV, k-spacing_relax=0.20/Angstrom, k-spacing_bandgap=0.15/Angstrom","C.Kim, T.D.Huan, S.Krishnan, R. Ramprasad"
0044,1894,"T.D.Huan et al., Phys. Rev. B 93,094105(2016)",Methylammonium Germanium Fluoride,Hybrid organic-inorganic perovskite ( MC_ino ),Bulk crystalline materials ( GC_cry ),CH3NH3,5,12,C H N  Ge F,1 6 1  1 3,5.7456,4.488,"0.5, 0.5, 0","0.5, 0.0455, 0.5",2.7603,3.8036,6.5639,1.6614,-4.6569,-0.1978,0.5579,96.1,2.7936,VASP,PAW,"ENCUT=400eV, k-spacing_relax=0.20/Angstrom, k-spacing_bandgap=0.15/Angstrom","C.Kim, T.D.Huan, S.Krishnan, R. Ramprasad"
