,0,1,2,3
921,C2H8N1Pb1F3,C2H8N1,Pb1,F3
922,C2H8N1Pb1F3,C2H8N1,Pb1,F3
923,C2H8N1Pb1F3,C2H8N1,Pb1,F3
924,C2H8N1Pb1F3,C2H8N1,Pb1,F3
925,C2H8N1Pb1F3,C2H8N1,Pb1,F3
926,C3H10N1Pb1F3,C3H10N1,Pb1,F3
927,C3H10N1Pb1F3,C3H10N1,Pb1,F3
928,C3H10N1Pb1F3,C3H10N1,Pb1,F3
929,C3H10N1Pb1F3,C3H10N1,Pb1,F3
930,C3H10N1Pb1F3,C3H10N1,Pb1,F3
931,C3H10N1Pb1F3,C3H10N1,Pb1,F3
932,C3H10N1Pb1F3,C3H10N1,Pb1,F3
933,C3H10N1Pb1F3,C3H10N1,Pb1,F3
934,C3H10N1Pb1F3,C3H10N1,Pb1,F3
935,C3H10N1Pb1F3,C3H10N1,Pb1,F3
936,C3H10N1Pb1F3,C3H10N1,Pb1,F3
937,C4H12N1Pb1F3,C4H12N1,Pb1,F3
938,C4H12N1Pb1F3,C4H12N1,Pb1,F3
939,C3H10N1Pb1F3,C3H10N1,Pb1,F3
940,C3H10N1Pb1F3,C3H10N1,Pb1,F3
941,C3H10N1Pb1F3,C3H10N1,Pb1,F3
942,C3H10N1Pb1F3,C3H10N1,Pb1,F3
943,C3H10N1Pb1F3,C3H10N1,Pb1,F3
944,C3H10N1Pb1F3,C3H10N1,Pb1,F3
945,C3H10N1Pb1F3,C3H10N1,Pb1,F3
946,C3H10N1Pb1F3,C3H10N1,Pb1,F3
947,C3H10N1Pb1F3,C3H10N1,Pb1,F3
948,C3H10N1Pb1F3,C3H10N1,Pb1,F3
949,C3H10N1Pb1F3,C3H10N1,Pb1,F3
950,C3H10N1Pb1F3,C3H10N1,Pb1,F3
951,C2H8N1Pb1F3,C2H8N1,Pb1,F3
952,C2H8N1Pb1F3,C2H8N1,Pb1,F3
953,C2H8N1Pb1F3,C2H8N1,Pb1,F3
954,C2H8N1Pb1F3,C2H8N1,Pb1,F3
955,C2H8N1Pb1F3,C2H8N1,Pb1,F3
956,C2H7N2Pb1F3,C2H7N2,Pb1,F3
957,C2H7N2Pb1F3,C2H7N2,Pb1,F3
958,C2H7N2Pb1F3,C2H7N2,Pb1,F3
959,C2H7N2Pb1F3,C2H7N2,Pb1,F3
960,C2H7N2Pb1F3,C2H7N2,Pb1,F3
961,C1H6N1Pb1F3,C1H6N1,Pb1,F3
962,C1H6N1Pb1F3,C1H6N1,Pb1,F3
963,C1H6N1Pb1F3,C1H6N1,Pb1,F3
964,C1H6N1Pb1F3,C1H6N1,Pb1,F3
965,C1H6N1Pb1F3,C1H6N1,Pb1,F3
966,C1H6N1Pb1F3,C1H6N1,Pb1,F3
967,C1H6N3Pb1F3,C1H6N3,Pb1,F3
968,C1H6N3Pb1F3,C1H6N3,Pb1,F3
969,H4N1O1Pb3F,H4N1O1,Pb3,F1
970,H4N1O1Pb3F,H4N1O1,Pb3,F1
971,H4N1O1Pb3F,H4N1O1,Pb3,F1
972,H4N1O1Pb3F,H4N1O1,Pb3,F1
973,H4N1O1Pb3F,H4N1O1,Pb3,F1
974,H4N1O1Pb3F,H4N1O1,Pb3,F1
975,H4N1O1Pb3F,H4N1O1,Pb3,F1
976,C1H5N2Pb1F3,C1H5N2,Pb1,F3
977,C1H5N2Pb1F3,C1H5N2,Pb1,F3
978,C4H12N1Pb1F3,C4H12N1,Pb1,F3
979,H5N2Pb1F3,H5N2,Pb1,F3
980,H5N2Pb1F3,H5N2,Pb1,F3
981,H5N2Pb1F3,H5N2,Pb1,F3
982,H5N2Pb1F3,H5N2,Pb1,F3
983,H5N2Pb1F3,H5N2,Pb1,F3
984,H5N2Pb1F3,H5N2,Pb1,F3
985,H5N2Pb1F3,H5N2,Pb1,F3
986,H5N2Pb1F3,H5N2,Pb1,F3
987,H4N1Pb1F3,H4N1,Pb1,F3
988,H4N1Pb1F3,H4N1,Pb1,F3
989,C3H10N1Pb1F3,C3H10N1,Pb1,F3
990,C3H10N1Pb1F3,C3H10N1,Pb1,F3
991,C3H10N1Pb1F3,C3H10N1,Pb1,F3
992,C3H10N1Pb1F3,C3H10N1,Pb1,F3
993,C3H10N1Pb1F3,C3H10N1,Pb1,F3
994,C3H10N1Pb1F3,C3H10N1,Pb1,F3
995,C3H10N1Pb1F3,C3H10N1,Pb1,F3
996,C3H10N1Pb1F3,C3H10N1,Pb1,F3
997,C3H10N1Pb1F3,C3H10N1,Pb1,F3
998,C3H8N1Pb1F3,C3H8N1,Pb1,F3
999,C3H8N1Pb1F3,C3H8N1,Pb1,F3
1000,C3H8N1Pb1F3,C3H8N1,Pb1,F3
1001,C3H8N1Pb1F3,C3H8N1,Pb1,F3
1002,C3H8N1Pb1F3,C3H8N1,Pb1,F3
1003,C3H8N1Pb1F3,C3H8N1,Pb1,F3
1004,C3H8N1Pb1F3,C3H8N1,Pb1,F3
1005,C3H8N1Pb1F3,C3H8N1,Pb1,F3
1006,C3H8N1Pb1F3,C3H8N1,Pb1,F3
1007,C3H5N2Pb1F3,C3H5N2,Pb1,F3
1008,C3H5N2Pb1F3,C3H5N2,Pb1,F3
1009,C3H5N2Pb1F3,C3H5N2,Pb1,F3
1010,C3H5N2Pb1F3,C3H5N2,Pb1,F3
1011,C3H5N2Pb1F3,C3H5N2,Pb1,F3
1012,C3H5N2Pb1F3,C3H5N2,Pb1,F3
1013,C2H8N1Pb1Cl3,C2H8N1,Pb1,Cl3
1014,C2H8N1Pb1Cl3,C2H8N1,Pb1,Cl3
1015,C2H8N1Pb1Cl3,C2H8N1,Pb1,Cl3
1016,C2H8N1Pb1Cl3,C2H8N1,Pb1,Cl3
1017,C2H8N1Pb1Cl3,C2H8N1,Pb1,Cl3
1018,C2H8N1Pb1Cl3,C2H8N1,Pb1,Cl3
1019,C2H8N1Pb1Cl3,C2H8N1,Pb1,Cl3
1020,C2H8N1Pb1Cl3,C2H8N1,Pb1,Cl3
1021,C2H8N1Pb1Cl3,C2H8N1,Pb1,Cl3
1022,C2H8N1Pb1Cl3,C2H8N1,Pb1,Cl3
1023,C3H10N1Pb1Cl3,C3H10N1,Pb1,Cl3
1024,C3H10N1Pb1Cl3,C3H10N1,Pb1,Cl3
1025,C3H10N1Pb1Cl3,C3H10N1,Pb1,Cl3
1026,C3H10N1Pb1Cl3,C3H10N1,Pb1,Cl3
1027,C3H10N1Pb1Cl3,C3H10N1,Pb1,Cl3
1028,C3H10N1Pb1Cl3,C3H10N1,Pb1,Cl3
1029,C3H10N1Pb1Cl3,C3H10N1,Pb1,Cl3
1030,C3H10N1Pb1Cl3,C3H10N1,Pb1,Cl3
1031,C3H10N1Pb1Cl3,C3H10N1,Pb1,Cl3
1032,C3H10N1Pb1Cl3,C3H10N1,Pb1,Cl3
1033,C4H12N1Pb1Cl3,C4H12N1,Pb1,Cl3
1034,C4H12N1Pb1Cl3,C4H12N1,Pb1,Cl3
1035,C4H12N1Pb1Cl3,C4H12N1,Pb1,Cl3
1036,C4H12N1Pb1Cl3,C4H12N1,Pb1,Cl3
1037,C3H10N1Pb1Cl3,C3H10N1,Pb1,Cl3
1038,C3H10N1Pb1Cl3,C3H10N1,Pb1,Cl3
1039,C3H10N1Pb1Cl3,C3H10N1,Pb1,Cl3
1040,C3H10N1Pb1Cl3,C3H10N1,Pb1,Cl3
1041,C3H10N1Pb1Cl3,C3H10N1,Pb1,Cl3
1042,C3H10N1Pb1Cl3,C3H10N1,Pb1,Cl3
1043,C3H10N1Pb1Cl3,C3H10N1,Pb1,Cl3
1044,C3H10N1Pb1Cl3,C3H10N1,Pb1,Cl3
1045,C3H10N1Pb1Cl3,C3H10N1,Pb1,Cl3
1046,C3H10N1Pb1Cl3,C3H10N1,Pb1,Cl3
1047,C3H10N1Pb1Cl3,C3H10N1,Pb1,Cl3
1048,C2H8N1Pb1Cl3,C2H8N1,Pb1,Cl3
1049,C2H8N1Pb1Cl3,C2H8N1,Pb1,Cl3
1050,C2H8N1Pb1Cl3,C2H8N1,Pb1,Cl3
1051,C2H8N1Pb1Cl3,C2H8N1,Pb1,Cl3
1052,C2H8N1Pb1Cl3,C2H8N1,Pb1,Cl3
1053,C2H8N1Pb1Cl3,C2H8N1,Pb1,Cl3
1054,C2H8N1Pb1Cl3,C2H8N1,Pb1,Cl3
1055,C2H7N2Pb1Cl3,C2H7N2,Pb1,Cl3
1056,C2H7N2Pb1Cl3,C2H7N2,Pb1,Cl3
1057,C2H7N2Pb1Cl3,C2H7N2,Pb1,Cl3
1058,C2H7N2Pb1Cl3,C2H7N2,Pb1,Cl3
1059,C2H7N2Pb1Cl3,C2H7N2,Pb1,Cl3
1060,C2H7N2Pb1Cl3,C2H7N2,Pb1,Cl3
1061,C1H6N1Pb1Cl3,C1H6N1,Pb1,Cl3
1062,C1H6N1Pb1Cl3,C1H6N1,Pb1,Cl3
1063,C1H6N1Pb1Cl3,C1H6N1,Pb1,Cl3
1064,C1H6N1Pb1Cl3,C1H6N1,Pb1,Cl3
1065,C1H6N1Pb1Cl3,C1H6N1,Pb1,Cl3
1066,C1H6N3Pb1Cl3,C1H6N3,Pb1,Cl3
1067,C1H6N3Pb1Cl3,C1H6N3,Pb1,Cl3
1068,C1H6N3Pb1Cl3,C1H6N3,Pb1,Cl3
1069,H4N1O1Pb3Cl,H4N1O1,Pb3,Cl1
1070,H4N1O1Pb3Cl,H4N1O1,Pb3,Cl1
1071,H4N1O1Pb3Cl,H4N1O1,Pb3,Cl1
1072,H4N1O1Pb3Cl,H4N1O1,Pb3,Cl1
1073,H4N1O1Pb3Cl,H4N1O1,Pb3,Cl1
1074,H4N1O1Pb3Cl,H4N1O1,Pb3,Cl1
1075,C1H5N2Pb1Cl3,C1H5N2,Pb1,Cl3
