ID(Khazana),Material composition,CationA,CationB,Anion X,rMass,rIon,ToleranceFactor,class,total_number,atom_type,tool,potential,"Band Gap, HSE06 (eV)","Band Gap, GGA (eV)",dielectric_total,dielectric_electron,dielectric_ion,atomization_energy[eV/atom],total_energy[eV],cutoff_energy[eV],k-points,author,,,
2094,C2H8N1Ge1Br3,C2H8N1,Ge1,Br3,1.297,C12,1.412973024,Hybrid organic-inorganic perovskite,15,5,VASP,PAW,3.68,2.79,8.6102,3.1659,5.4443,-4.4751,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2095,C2H8N1Ge1Br3,C2H8N1,Ge1,Br3,1.299,C12,1.41380005,Hybrid organic-inorganic perovskite,15,5,VASP,PAW,3.94,2.99,14.8348,3.2928,11.542,-4.4819,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2096,C2H8N1Ge1Br3,C2H8N1,Ge1,Br3,2.355,C13,1.8504695,Hybrid organic-inorganic perovskite,15,5,VASP,PAW,4.01,3.03,18.0814,3.2929,14.7884,-4.4818,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2097,C2H8N1Ge1Br3,C2H8N1,Ge1,Br3,1.299,C12,1.41380005,Hybrid organic-inorganic perovskite,15,5,VASP,PAW,4.06,3.09,18.6797,3.2917,15.3879,-4.482,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2098,C2H7N2Ge1Br3,C2H7N2,Ge1,Br3,1.467,C1,1.48327019,Hybrid organic-inorganic perovskite,15,5,VASP,PAW,3.12,2.31,7.3806,3.0407,4.3398,-4.4697,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2099,C2H7N2Ge1Br3,C2H7N2,Ge1,Br3,1.466,C1,1.482856677,Hybrid organic-inorganic perovskite,15,5,VASP,PAW,3.19,2.38,14.7229,3.4223,11.3006,-4.4881,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2100,C2H7N2Ge1Br3,C2H7N2,Ge1,Br3,1.465,C1,1.482443164,Hybrid organic-inorganic perovskite,15,5,VASP,PAW,2.99,2.21,11.273,3.4451,7.8279,-4.4879,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2101,C2H7N2Ge1Br3,C2H7N2,Ge1,Br3,1.515,C1,1.503118801,Hybrid organic-inorganic perovskite,15,5,VASP,PAW,3.98,2.99,13.7014,3.2653,10.4361,-4.4853,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2102,C2H7N2Ge1Br3,C2H7N2,Ge1,Br3,1.446,C1,1.474586422,Hybrid organic-inorganic perovskite,15,5,VASP,PAW,3.81,2.87,12.4316,3.4433,8.9883,-4.4879,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2103,C2H7N2Ge1Br3,C2H7N2,Ge1,Br3,1.567,C1,1.524621463,Hybrid organic-inorganic perovskite,15,5,VASP,PAW,4.32,3.26,12.9397,3.4249,9.5148,-4.488,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2104,C1H6N1Ge1Br3,C1H6N1,Ge1,Br3,0.808,C10,1.210765296,Hybrid organic-inorganic perovskite,12,5,VASP,PAW,2.3,1.6,16.3843,3.4335,12.9508,-4.4883,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2105,C1H6N1Ge1Br3,C1H6N1,Ge1,Br3,0.808,C10,1.210765296,Hybrid organic-inorganic perovskite,12,5,VASP,PAW,2.38,1.72,15.0781,3.6969,11.3812,-3.9562,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2106,C1H6N1Ge1Br3,C1H6N1,Ge1,Br3,2.063,C10,1.729723781,Hybrid organic-inorganic perovskite,12,5,VASP,PAW,3.71,2.8,11.6661,3.3758,8.2903,-3.9479,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2107,C1H6N1Ge1Br3,C1H6N1,Ge1,Br3,0.807,C10,1.210351783,Hybrid organic-inorganic perovskite,12,5,VASP,PAW,3.76,2.8,14.5644,3.621,10.9435,-4.1418,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2108,C1H6N1Ge1Br3,C1H6N1,Ge1,Br3,0.769,N12,1.732204858,Hybrid organic-inorganic perovskite,12,5,VASP,PAW,3.37,2.52,14.3833,3.7035,10.6798,-4.1442,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2109,C1H6N1Ge1Br3,C1H6N1,Ge1,Br3,1.086,C10,1.325721837,Hybrid organic-inorganic perovskite,12,5,VASP,PAW,3.36,2.54,11.034,3.5958,7.4381,-4.139,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2110,C1H6N3Ge1Br3,C1H6N3,Ge1,Br3,1.341,N11,1.968734143,Hybrid organic-inorganic perovskite,14,5,VASP,PAW,3.1,2.29,11.2807,3.5499,7.7308,-4.1349,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2111,C1H6N3Ge1Br3,C1H6N3,Ge1,Br3,1.413,N12,1.998507061,Hybrid organic-inorganic perovskite,14,5,VASP,PAW,2.88,2.09,13.6162,3.6209,9.9953,-4.1416,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2112,C1H6N3Ge1Br3,C1H6N3,Ge1,Br3,2.813,N12,2.577424893,Hybrid organic-inorganic perovskite,14,5,VASP,PAW,3.74,2.81,11.7883,3.5865,8.2018,-4.1353,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2113,H4N1O1Ge3Br,H4N1O1,Ge3,Br1,0.066,N9,1.441505403,Hybrid organic-inorganic perovskite,9,5,VASP,PAW,2.25,1.66,14.4107,3.7169,10.6938,-4.1395,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2114,H4N1O1Ge3Br,H4N1O1,Ge3,Br1,0.266,N9,1.524207951,Hybrid organic-inorganic perovskite,9,5,VASP,PAW,3.16,2.37,14.369,3.6835,10.6855,-4.1261,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2115,H4N1O1Ge3Br,H4N1O1,Ge3,Br1,0.22,N9,1.505186365,Hybrid organic-inorganic perovskite,9,5,VASP,PAW,3.17,2.36,11.5617,3.5457,8.016,-4.1199,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2116,H4N1O1Ge3Br,H4N1O1,Ge3,Br1,0.476,N9,1.611045625,Hybrid organic-inorganic perovskite,9,5,VASP,PAW,3.01,2.21,5.6606,2.9768,2.6838,-4.5513,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2117,H4N1O1Ge3Br,H4N1O1,Ge3,Br1,0.218,N9,1.504359339,Hybrid organic-inorganic perovskite,9,5,VASP,PAW,3.56,2.69,6.9855,3.2373,3.7482,-4.5604,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2118,H4N1O1Ge3Br,H4N1O1,Ge3,Br1,0.499,N9,1.620556418,Hybrid organic-inorganic perovskite,9,5,VASP,PAW,3.59,2.71,8.0795,3.3285,4.751,-4.5596,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2119,H4N1O1Ge3Br,H4N1O1,Ge3,Br1,0.065,N9,1.44109189,Hybrid organic-inorganic perovskite,9,5,VASP,PAW,3.55,2.68,9.1185,3.4862,5.6323,-4.4251,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2120,C1H5N2Ge1Br3,C1H5N2,Ge1,Br3,2.928,N6,2.624978858,Hybrid organic-inorganic perovskite,12,5,VASP,PAW,2.58,1.86,13.9772,3.6906,10.2866,-4.575,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2121,C1H5N2Ge1Br3,C1H5N2,Ge1,Br3,3.062,N5,2.680389565,Hybrid organic-inorganic perovskite,12,5,VASP,PAW,2.64,1.93,14.4145,3.6964,10.7181,-4.5763,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2122,C1H5N2Ge1Br3,C1H5N2,Ge1,Br3,3.686,C12,2.400854954,Hybrid organic-inorganic perovskite,12,5,VASP,PAW,3.99,3.01,11.319,3.5775,7.7414,-3.974,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2123,C4H12N1Ge1Br3,C4H12N1,Ge1,Br3,1.523,C1,1.506426903,Hybrid organic-inorganic perovskite,21,5,VASP,PAW,3.47,2.6,12.6394,3.6421,8.9973,-3.9719,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2124,C4H12N1Ge1Br3,C4H12N1,Ge1,Br3,1.525,C3,1.507253928,Hybrid organic-inorganic perovskite,21,5,VASP,PAW,3.69,2.78,10.8964,3.6605,7.2359,-3.9736,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2125,C4H12N1Ge1Br3,C4H12N1,Ge1,Br3,1.522,C3,1.50601339,Hybrid organic-inorganic perovskite,21,5,VASP,PAW,4.02,3.04,11.8116,3.6059,8.2057,-3.9773,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2126,H5N2Ge1Br3,H5N2,Ge1,Br3,0.777,N10,1.735512959,Hybrid organic-inorganic perovskite,11,4,VASP,PAW,2.14,1.5,12.6951,3.6036,9.0916,-3.9803,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2127,H5N2Ge1Br3,H5N2,Ge1,Br3,2.767,N10,2.558403307,Hybrid organic-inorganic perovskite,11,4,VASP,PAW,2.36,1.8,16.2573,3.6662,12.5911,-3.953,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2128,H5N2Ge1Br3,H5N2,Ge1,Br3,0.778,N10,1.735926472,Hybrid organic-inorganic perovskite,11,4,VASP,PAW,3.56,2.67,11.1656,3.4849,7.6807,-4.7383,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2129,H5N2Ge1Br3,H5N2,Ge1,Br3,0.856,N10,1.768180466,Hybrid organic-inorganic perovskite,11,4,VASP,PAW,3.75,2.75,20.0992,3.7444,16.3548,-4.7337,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2130,H5N2Ge1Br3,H5N2,Ge1,Br3,0.887,N10,1.780999361,Hybrid organic-inorganic perovskite,11,4,VASP,PAW,3.87,2.93,17.7339,3.726,14.008,-4.7396,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2131,H5N2Ge1Br3,H5N2,Ge1,Br3,0.778,N10,1.735926472,Hybrid organic-inorganic perovskite,11,4,VASP,PAW,3.36,2.53,12.982,3.4551,9.5269,-4.2245,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2132,H5N2Ge1Br3,H5N2,Ge1,Br3,0.776,N10,1.735099447,Hybrid organic-inorganic perovskite,11,4,VASP,PAW,3.37,2.58,10.985,3.448,7.537,-4.2254,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2133,H5N2Ge1Br3,H5N2,Ge1,Br3,0.774,N10,1.734272421,Hybrid organic-inorganic perovskite,11,4,VASP,PAW,3.81,2.84,12.2858,3.3722,8.9136,-4.2269,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2134,H5N2Ge1Br3,H5N2,Ge1,Br3,0.778,N10,1.735926472,Hybrid organic-inorganic perovskite,11,4,VASP,PAW,3.17,2.41,12.5329,3.5364,8.9966,-4.2313,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2135,H5N2Ge1Br3,H5N2,Ge1,Br3,1.677,N10,2.107674423,Hybrid organic-inorganic perovskite,11,4,VASP,PAW,3.39,2.56,11.8298,3.5243,8.3055,-4.2317,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2136,H5N2Ge1Br3,H5N2,Ge1,Br3,1.531,N10,2.047301564,Hybrid organic-inorganic perovskite,11,4,VASP,PAW,3.33,2.55,12.5239,3.2791,9.2448,-4.6787,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2137,H4N1Ge1Br3,H4N1,Ge1,Br3,0.002,N5,1.415040588,Hybrid organic-inorganic perovskite,9,4,VASP,PAW,3.74,2.79,11.7337,3.3688,8.365,-4.6891,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2138,H4N1Ge1Br3,H4N1,Ge1,Br3,0.002,N5,1.415040588,Hybrid organic-inorganic perovskite,9,4,VASP,PAW,2.76,2.08,10.3311,3.4291,6.902,-4.6929,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2139,H4N1Ge1Br3,H4N1,Ge1,Br3,0.002,N5,1.415040588,Hybrid organic-inorganic perovskite,9,4,VASP,PAW,3.71,2.77,19.5531,3.6458,15.9072,-4.691,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2140,H4N1Ge1Br3,H4N1,Ge1,Br3,0.003,N5,1.415454101,Hybrid organic-inorganic perovskite,9,4,VASP,PAW,3.71,2.78,14.5527,3.5972,10.9555,-4.692,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2141,C3H10N1Ge1Br3,C3H10N1,Ge1,Br3,1.458,C1,1.479548575,Hybrid organic-inorganic perovskite,18,5,VASP,PAW,3.21,2.36,21.3195,3.6512,17.6683,-4.6931,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2142,C3H10N1Ge1Br3,C3H10N1,Ge1,Br3,1.452,C1,1.477067498,Hybrid organic-inorganic perovskite,18,5,VASP,PAW,3.38,2.5,12.6955,3.4275,9.2681,-4.3797,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2143,C3H10N1Ge1Br3,C3H10N1,Ge1,Br3,1.453,C2,1.477481011,Hybrid organic-inorganic perovskite,18,5,VASP,PAW,3.87,2.95,11.0484,3.3573,7.6911,-4.3802,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2144,C3H10N1Ge1Br3,C3H10N1,Ge1,Br3,1.449,C3,1.47582696,Hybrid organic-inorganic perovskite,18,5,VASP,PAW,3.89,2.95,10.6226,3.3244,7.2982,-4.3805,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2145,C3H10N1Ge1Br3,C3H10N1,Ge1,Br3,1.448,C1,1.475413448,Hybrid organic-inorganic perovskite,18,5,VASP,PAW,3.48,2.58,17.975,3.579,14.396,-4.386,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2146,C3H10N1Ge1Br3,C3H10N1,Ge1,Br3,1.448,C2,1.475413448,Hybrid organic-inorganic perovskite,18,5,VASP,PAW,4.06,3.1,36.2992,3.6578,32.6414,-4.3859,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2147,C3H10N1Ge1Br3,C3H10N1,Ge1,Br3,1.458,C1,1.479548575,Hybrid organic-inorganic perovskite,18,5,VASP,PAW,4.2,3.24,21.6169,3.6155,18.0013,-4.386,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2148,C3H10N1Ge1Br3,C3H10N1,Ge1,Br3,1.458,C1,1.479548575,Hybrid organic-inorganic perovskite,18,5,VASP,PAW,3.84,2.93,22.577,3.5798,18.9971,-4.3815,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2149,C3H10N1Ge1Br3,C3H10N1,Ge1,Br3,1.549,C1,1.517178234,Hybrid organic-inorganic perovskite,18,5,VASP,PAW,4.19,3.22,10.8034,3.2653,7.5381,-4.5047,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2150,C3H8N1Ge1Br3,C3H8N1,Ge1,Br3,1.14,C14,1.348051524,Hybrid organic-inorganic perovskite,16,5,VASP,PAW,2.82,2.05,7.2215,3.0247,4.1968,-4.5059,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2151,C3H8N1Ge1Br3,C3H8N1,Ge1,Br3,1.137,C14,1.346810986,Hybrid organic-inorganic perovskite,16,5,VASP,PAW,2.83,2.06,12.6951,3.0919,9.6032,-4.5075,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2152,C3H8N1Ge1Br3,C3H8N1,Ge1,Br3,1.137,C14,1.346810986,Hybrid organic-inorganic perovskite,16,5,VASP,PAW,2.96,2.17,11.2028,3.0658,8.1371,-4.508,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2153,C3H8N1Ge1Br3,C3H8N1,Ge1,Br3,1.137,C14,1.346810986,Hybrid organic-inorganic perovskite,16,5,VASP,PAW,2.8,1.99,14.1076,3.1035,11.0041,-4.5073,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2154,C3H8N1Ge1Br3,C3H8N1,Ge1,Br3,1.226,C13,1.38361362,Hybrid organic-inorganic perovskite,16,5,VASP,PAW,3.58,2.59,11.9451,3.0725,8.8726,-4.5079,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2155,C3H8N1Ge1Br3,C3H8N1,Ge1,Br3,1.218,C14,1.380305518,Hybrid organic-inorganic perovskite,16,5,VASP,PAW,3.51,2.51,11.9697,3.3799,8.5898,-4.5145,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2156,C3H8N1Ge1Br3,C3H8N1,Ge1,Br3,1.292,N16,1.948472019,Hybrid organic-inorganic perovskite,16,5,VASP,PAW,3.6,2.61,12.3475,3.3724,8.9751,-4.5148,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2157,C3H8N1Ge1Br3,C3H8N1,Ge1,Br3,1.167,C14,1.359216368,Hybrid organic-inorganic perovskite,16,5,VASP,PAW,4.03,3.06,8.9815,3.4087,5.5728,-4.5146,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2158,C3H8N1Ge1Br3,C3H8N1,Ge1,Br3,2.913,C12,2.081209608,Hybrid organic-inorganic perovskite,16,5,VASP,PAW,4.1,3.12,11.398,3.4241,7.9739,-4.5149,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2159,C3H8N1Ge1Br3,C3H8N1,Ge1,Br3,1.128,C14,1.343089372,Hybrid organic-inorganic perovskite,16,5,VASP,PAW,4.1,3.13,10.1812,3.3282,6.853,-4.517,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2160,C3H8N1Ge1Br3,C3H8N1,Ge1,Br3,2.351,C14,1.84881545,Hybrid organic-inorganic perovskite,16,5,VASP,PAW,3.97,3,9.76,3.1171,6.6429,-4.5865,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2161,C3H8N1Ge1Br3,C3H8N1,Ge1,Br3,2.224,C14,1.796299332,Hybrid organic-inorganic perovskite,16,5,VASP,PAW,4.08,3.1,8.9617,3.1973,5.7644,-4.5867,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2162,C3H8N1Ge1Br3,C3H8N1,Ge1,Br3,1.149,C14,1.351773139,Hybrid organic-inorganic perovskite,16,5,VASP,PAW,3.76,2.9,9.09,3.1288,5.9612,-4.5864,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2163,C3H8N1Ge1Br3,C3H8N1,Ge1,Br3,3.171,N16,2.725462453,Hybrid organic-inorganic perovskite,16,5,VASP,PAW,3.62,2.7,10.6509,3.1499,7.501,-4.5864,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2164,C3H8N1Ge1Br3,C3H8N1,Ge1,Br3,3.147,C13,2.177971589,Hybrid organic-inorganic perovskite,16,5,VASP,PAW,3.8,2.87,8.6834,3.2515,5.4319,-4.5047,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2165,C3H8N1Ge1Br3,C3H8N1,Ge1,Br3,2.106,C14,1.747504829,Hybrid organic-inorganic perovskite,16,5,VASP,PAW,3.89,2.92,9.0723,3.1931,5.8791,-4.5147,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2166,C3H5N2Ge1Br3,C3H5N2,Ge1,Br3,1.243,C10,1.390643336,Hybrid organic-inorganic perovskite,14,5,VASP,PAW,2.88,2.13,8.4862,3.0694,5.4168,-4.5031,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2167,C3H5N2Ge1Br3,C3H5N2,Ge1,Br3,1.23,C10,1.385267671,Hybrid organic-inorganic perovskite,14,5,VASP,PAW,3.13,2.37,8.6055,3.2265,5.379,-4.5126,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2168,C3H5N2Ge1Br3,C3H5N2,Ge1,Br3,1.196,C11,1.371208238,Hybrid organic-inorganic perovskite,14,5,VASP,PAW,3.4,2.54,7.9274,3.0067,4.9207,-4.5047,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2169,C3H5N2Ge1Br3,C3H5N2,Ge1,Br3,1.195,C9,1.370794725,Hybrid organic-inorganic perovskite,14,5,VASP,PAW,3.16,2.38,10.2843,3.4052,6.8791,-4.5106,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2170,C3H5N2Ge1Br3,C3H5N2,Ge1,Br3,1.197,C9,1.37162175,Hybrid organic-inorganic perovskite,14,5,VASP,PAW,3.87,3.03,12.3427,3.4421,8.9006,-4.5111,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2171,C3H5N2Ge1Br3,C3H5N2,Ge1,Br3,2.446,C9,1.88809916,Hybrid organic-inorganic perovskite,14,5,VASP,PAW,3.82,2.97,8.6681,3.1392,5.5289,-4.5123,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2172,C3H5N2Ge1Br3,C3H5N2,Ge1,Br3,1.197,C9,1.37162175,Hybrid organic-inorganic perovskite,14,5,VASP,PAW,3.92,3.01,7.9974,3.1225,4.8749,-4.5121,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2173,C3H5N2Ge1Br3,C3H5N2,Ge1,Br3,1.197,C9,1.37162175,Hybrid organic-inorganic perovskite,14,5,VASP,PAW,3.87,2.98,10.3147,3.132,7.1826,-4.5059,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2174,C2H8N1Ge1I3,C2H8N1,Ge1,I3,1.326,C2,1.424259888,Hybrid organic-inorganic perovskite,15,5,VASP,PAW,2.23,1.56,13.4501,3.324,10.1261,-4.4019,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2175,C2H8N1Ge1I3,C2H8N1,Ge1,I3,1.332,C2,1.426578271,Hybrid organic-inorganic perovskite,15,5,VASP,PAW,2.34,1.61,13.3071,3.3058,10.0013,-4.3832,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2176,C2H8N1Ge1I3,C2H8N1,Ge1,I3,1.331,C2,1.426191874,Hybrid organic-inorganic perovskite,15,5,VASP,PAW,3.07,2.3,9.9339,3.3726,6.5613,-4.3895,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2177,C2H8N1Ge1I3,C2H8N1,Ge1,I3,1.336,C2,1.42812386,Hybrid organic-inorganic perovskite,15,5,VASP,PAW,3.1,2.32,11.5092,3.3846,8.1246,-4.3909,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2178,C2H8N1Ge1I3,C2H8N1,Ge1,I3,1.307,C2,1.416918342,Hybrid organic-inorganic perovskite,15,5,VASP,PAW,3.1,2.24,14.7238,3.4139,11.3099,-4.398,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2179,C2H8N1Ge1I3,C2H8N1,Ge1,I3,1.334,C2,1.427351065,Hybrid organic-inorganic perovskite,15,5,VASP,PAW,3.1,2.31,9.2597,3.0539,6.2057,-4.392,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2180,C2H8N1Ge1I3,C2H8N1,Ge1,I3,1.334,C2,1.427351065,Hybrid organic-inorganic perovskite,15,5,VASP,PAW,3.15,2.36,11.9108,3.3472,8.5636,-4.4039,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2181,C2H8N1Ge1I3,C2H8N1,Ge1,I3,1.366,C2,1.439715774,Hybrid organic-inorganic perovskite,15,5,VASP,PAW,2.84,2.06,9.2363,3.2681,5.9683,-4.4026,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2182,C2H8N1Ge1I3,C2H8N1,Ge1,I3,1.325,C2,1.423873491,Hybrid organic-inorganic perovskite,15,5,VASP,PAW,3.14,2.32,9.6209,3.266,6.3549,-4.3997,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2183,C2H8N1Ge1I3,C2H8N1,Ge1,I3,1.332,C2,1.426578271,Hybrid organic-inorganic perovskite,15,5,VASP,PAW,3.04,2.26,12.8229,3.5564,9.2665,-4.4081,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2184,C2H8N1Ge1I3,C2H8N1,Ge1,I3,1.335,C2,1.427737463,Hybrid organic-inorganic perovskite,15,5,VASP,PAW,2.24,1.48,8.4668,3.1042,5.3626,-5.3755,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2185,C2H8N1Ge1I3,C2H8N1,Ge1,I3,1.338,C2,1.428896654,Hybrid organic-inorganic perovskite,15,5,VASP,PAW,3.33,2.51,8.869,3.1114,5.7576,-5.3815,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2186,C3H10N1Ge1I3,C3H10N1,Ge1,I3,1.999,C3,1.684305169,Hybrid organic-inorganic perovskite,18,5,VASP,PAW,2.63,1.89,9.1878,3.1766,6.0111,-5.3785,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2187,C3H10N1Ge1I3,C3H10N1,Ge1,I3,1.996,C3,1.683145978,Hybrid organic-inorganic perovskite,18,5,VASP,PAW,2.52,1.81,8.9448,3.1788,5.766,-5.379,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2188,C3H10N1Ge1I3,C3H10N1,Ge1,I3,1.995,C3,1.68275958,Hybrid organic-inorganic perovskite,18,5,VASP,PAW,2.47,1.77,7.8069,3.1782,4.6287,-5.3805,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2189,C3H10N1Ge1I3,C3H10N1,Ge1,I3,1.702,C3,1.569545216,Hybrid organic-inorganic perovskite,18,5,VASP,PAW,2.41,1.66,7.9401,3.1899,4.7502,-5.3854,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2190,C3H10N1Ge1I3,C3H10N1,Ge1,I3,1.664,C3,1.554862124,Hybrid organic-inorganic perovskite,18,5,VASP,PAW,2.5,1.76,7.2729,2.8907,4.3822,-4.8462,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2191,C3H10N1Ge1I3,C3H10N1,Ge1,I3,1.719,C3,1.576113967,Hybrid organic-inorganic perovskite,18,5,VASP,PAW,2.57,1.83,7.3341,2.9387,4.3954,-4.8319,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2192,C3H10N1Ge1I3,C3H10N1,Ge1,I3,4.705,N17,3.232212145,Hybrid organic-inorganic perovskite,18,5,VASP,PAW,3.32,2.51,9.0723,2.9875,6.0847,-4.8452,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2193,C3H10N1Ge1I3,C3H10N1,Ge1,I3,5.225,N17,3.433138662,Hybrid organic-inorganic perovskite,18,5,VASP,PAW,3.45,2.61,8.3499,2.9801,5.3698,-4.8569,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2194,C3H10N1Ge1I3,C3H10N1,Ge1,I3,2.076,N17,2.216374042,Hybrid organic-inorganic perovskite,18,5,VASP,PAW,3.4,2.58,8.7634,2.956,5.8075,-4.8546,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
